7.4506 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113ddc410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4507 	EXP 	window1: recordFrameIntervals = False
7.6170 	EXP 	window1: recordFrameIntervals = True
7.8005 	EXP 	window1: recordFrameIntervals = False
7.8968 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.8985 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.8996 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.9097 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
7.9191 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.9235 	EXP 	window1: blendMode = 'avg'
7.9337 	EXP 	text_2: autoDraw = True
7.9374 	EXP 	window1: blendMode = 'avg'
7.9510 	EXP 	window1: blendMode = 'avg'
7.9678 	EXP 	window1: blendMode = 'avg'
7.9845 	EXP 	window1: blendMode = 'avg'
8.0011 	EXP 	window1: blendMode = 'avg'
8.0181 	EXP 	window1: blendMode = 'avg'
8.0345 	EXP 	window1: blendMode = 'avg'
8.0510 	EXP 	window1: blendMode = 'avg'
8.0679 	EXP 	window1: blendMode = 'avg'
8.0847 	EXP 	window1: blendMode = 'avg'
8.1014 	EXP 	window1: blendMode = 'avg'
8.1173 	EXP 	window1: blendMode = 'avg'
8.1346 	EXP 	window1: blendMode = 'avg'
8.1513 	EXP 	window1: blendMode = 'avg'
8.1681 	EXP 	window1: blendMode = 'avg'
8.1839 	EXP 	window1: blendMode = 'avg'
8.2012 	EXP 	window1: blendMode = 'avg'
8.2177 	EXP 	window1: blendMode = 'avg'
8.2343 	EXP 	window1: blendMode = 'avg'
8.2509 	EXP 	window1: blendMode = 'avg'
8.2674 	EXP 	window1: blendMode = 'avg'
8.2838 	EXP 	window1: blendMode = 'avg'
8.3012 	EXP 	window1: blendMode = 'avg'
8.3178 	EXP 	window1: blendMode = 'avg'
8.3346 	EXP 	window1: blendMode = 'avg'
8.3513 	EXP 	window1: blendMode = 'avg'
8.3681 	EXP 	window1: blendMode = 'avg'
8.3845 	EXP 	window1: blendMode = 'avg'
8.4013 	EXP 	window1: blendMode = 'avg'
8.4180 	EXP 	window1: blendMode = 'avg'
8.4345 	EXP 	window1: blendMode = 'avg'
8.4513 	EXP 	window1: blendMode = 'avg'
8.4680 	EXP 	window1: blendMode = 'avg'
8.4847 	EXP 	window1: blendMode = 'avg'
8.5012 	EXP 	window1: blendMode = 'avg'
8.5180 	EXP 	window1: blendMode = 'avg'
8.5347 	EXP 	window1: blendMode = 'avg'
8.5512 	EXP 	window1: blendMode = 'avg'
8.5680 	EXP 	window1: blendMode = 'avg'
8.5847 	EXP 	window1: blendMode = 'avg'
8.6014 	EXP 	window1: blendMode = 'avg'
8.6182 	EXP 	window1: blendMode = 'avg'
8.6340 	EXP 	window1: blendMode = 'avg'
8.6504 	EXP 	window1: blendMode = 'avg'
8.6679 	EXP 	window1: blendMode = 'avg'
8.6847 	EXP 	window1: blendMode = 'avg'
8.7013 	EXP 	window1: blendMode = 'avg'
8.7171 	EXP 	window1: blendMode = 'avg'
8.7346 	EXP 	window1: blendMode = 'avg'
8.7512 	EXP 	window1: blendMode = 'avg'
8.7678 	EXP 	window1: blendMode = 'avg'
8.7839 	EXP 	window1: blendMode = 'avg'
8.8012 	EXP 	window1: blendMode = 'avg'
8.8180 	EXP 	window1: blendMode = 'avg'
8.8347 	EXP 	window1: blendMode = 'avg'
8.8511 	EXP 	window1: blendMode = 'avg'
8.8679 	EXP 	window1: blendMode = 'avg'
8.8842 	EXP 	window1: blendMode = 'avg'
8.9008 	EXP 	window1: blendMode = 'avg'
8.9220 	EXP 	window1: blendMode = 'avg'
8.9393 	EXP 	window1: blendMode = 'avg'
8.9553 	EXP 	window1: blendMode = 'avg'
8.9727 	EXP 	window1: blendMode = 'avg'
8.9890 	EXP 	window1: blendMode = 'avg'
9.0013 	EXP 	window1: blendMode = 'avg'
