7.0871 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113f5c410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.0872 	EXP 	window1: recordFrameIntervals = False
7.2538 	EXP 	window1: recordFrameIntervals = True
7.4368 	EXP 	window1: recordFrameIntervals = False
7.5784 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.5815 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.5828 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.5934 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
7.6051 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6111 	EXP 	window1: blendMode = 'avg'
7.6197 	EXP 	text_2: autoDraw = True
7.6221 	EXP 	window1: blendMode = 'avg'
7.6384 	EXP 	window1: blendMode = 'avg'
7.6543 	EXP 	window1: blendMode = 'avg'
7.6710 	EXP 	window1: blendMode = 'avg'
7.6871 	EXP 	window1: blendMode = 'avg'
7.7046 	EXP 	window1: blendMode = 'avg'
7.7213 	EXP 	window1: blendMode = 'avg'
7.7377 	EXP 	window1: blendMode = 'avg'
7.7545 	EXP 	window1: blendMode = 'avg'
7.7712 	EXP 	window1: blendMode = 'avg'
7.7877 	EXP 	window1: blendMode = 'avg'
7.8043 	EXP 	window1: blendMode = 'avg'
7.8210 	EXP 	window1: blendMode = 'avg'
7.8373 	EXP 	window1: blendMode = 'avg'
7.8542 	EXP 	window1: blendMode = 'avg'
7.8710 	EXP 	window1: blendMode = 'avg'
7.8870 	EXP 	window1: blendMode = 'avg'
7.9047 	EXP 	window1: blendMode = 'avg'
7.9207 	EXP 	window1: blendMode = 'avg'
7.9372 	EXP 	window1: blendMode = 'avg'
7.9541 	EXP 	window1: blendMode = 'avg'
7.9711 	EXP 	window1: blendMode = 'avg'
7.9874 	EXP 	window1: blendMode = 'avg'
8.0046 	EXP 	window1: blendMode = 'avg'
8.0212 	EXP 	window1: blendMode = 'avg'
8.0378 	EXP 	window1: blendMode = 'avg'
8.0540 	EXP 	window1: blendMode = 'avg'
8.0712 	EXP 	window1: blendMode = 'avg'
8.0926 	DATA 	Keypress: space
8.1023 	EXP 	Imported Book.xlsx as conditions, 44 conditions, 7 params
8.1028 	EXP 	Created sequence: random, trialTypes=44, nReps=1, seed=None
8.1031 	EXP 	New trial (rep=0, index=0): {'YLeftPos': 0, 'time_presentation': 0.5, 'XLeftPos': -300, 'XRightPos': 300, 'rightimg': u'frogs/ab54.jpg', 'YRightPos': 0, 'leftimg': u'frogs/ab14.jpg'}
8.1871 	EXP 	text_2: autoDraw = False
8.1871 	EXP 	Leftimg: pos = array([-300.,    0.])
8.1871 	EXP 	Leftimg: image = u'frogs/ab14.jpg'
8.1871 	EXP 	Rightimg: pos = array([ 300.,    0.])
8.1871 	EXP 	Rightimg: image = u'frogs/ab54.jpg'
8.1871 	EXP 	Leftimg: autoDraw = True
8.1871 	EXP 	Rightimg: autoDraw = True
8.6200 	EXP 	Leftimg: autoDraw = False
8.6200 	EXP 	Rightimg: autoDraw = False
8.6221 	DATA 	Keypress: space
8.7752 	DATA 	Keypress: space
8.7766 	EXP 	New trial (rep=0, index=1): {'YLeftPos': 0, 'time_presentation': 0.5, 'XLeftPos': -300, 'XRightPos': 300, 'rightimg': u'frogs/ab74.jpg', 'YRightPos': 0, 'leftimg': u'frogs/ab34.jpg'}
8.8737 	EXP 	Leftimg: autoDraw = False
8.8737 	EXP 	Rightimg: autoDraw = False
8.8737 	EXP 	text: autoDraw = False
8.8737 	EXP 	Leftimg: pos = array([-300.,    0.])
8.8737 	EXP 	Leftimg: image = u'frogs/ab34.jpg'
8.8737 	EXP 	Rightimg: pos = array([ 300.,    0.])
8.8737 	EXP 	Rightimg: image = u'frogs/ab74.jpg'
8.8737 	EXP 	Leftimg: autoDraw = True
8.8737 	EXP 	Rightimg: autoDraw = True
8.9266 	DATA 	Keypress: space
9.2596 	DATA 	Keypress: escape
