8.7393 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113eca410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.7394 	EXP 	window1: recordFrameIntervals = False
8.9048 	EXP 	window1: recordFrameIntervals = True
9.1935 	EXP 	window1: recordFrameIntervals = False
9.3362 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.3379 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.3390 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.3489 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
9.3599 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.3667 	EXP 	window1: blendMode = 'avg'
9.3763 	EXP 	text_2: autoDraw = True
9.3798 	EXP 	window1: blendMode = 'avg'
9.3945 	EXP 	window1: blendMode = 'avg'
9.4113 	EXP 	window1: blendMode = 'avg'
9.4279 	EXP 	window1: blendMode = 'avg'
9.4446 	EXP 	window1: blendMode = 'avg'
9.4614 	EXP 	window1: blendMode = 'avg'
9.4779 	EXP 	window1: blendMode = 'avg'
9.4945 	EXP 	window1: blendMode = 'avg'
9.5113 	EXP 	window1: blendMode = 'avg'
9.5279 	EXP 	window1: blendMode = 'avg'
9.5446 	EXP 	window1: blendMode = 'avg'
9.5613 	EXP 	window1: blendMode = 'avg'
9.5780 	EXP 	window1: blendMode = 'avg'
9.5945 	EXP 	window1: blendMode = 'avg'
9.6112 	EXP 	window1: blendMode = 'avg'
9.6279 	EXP 	window1: blendMode = 'avg'
9.6445 	EXP 	window1: blendMode = 'avg'
9.6611 	EXP 	window1: blendMode = 'avg'
9.6779 	EXP 	window1: blendMode = 'avg'
9.6944 	EXP 	window1: blendMode = 'avg'
9.7113 	EXP 	window1: blendMode = 'avg'
9.7278 	EXP 	window1: blendMode = 'avg'
9.7445 	EXP 	window1: blendMode = 'avg'
9.7613 	EXP 	window1: blendMode = 'avg'
9.7778 	EXP 	window1: blendMode = 'avg'
9.7944 	EXP 	window1: blendMode = 'avg'
9.8112 	EXP 	window1: blendMode = 'avg'
9.8279 	EXP 	window1: blendMode = 'avg'
9.8446 	EXP 	window1: blendMode = 'avg'
9.8613 	EXP 	window1: blendMode = 'avg'
9.8778 	EXP 	window1: blendMode = 'avg'
9.8945 	EXP 	window1: blendMode = 'avg'
9.9112 	EXP 	window1: blendMode = 'avg'
9.9277 	EXP 	window1: blendMode = 'avg'
9.9446 	EXP 	window1: blendMode = 'avg'
9.9611 	EXP 	window1: blendMode = 'avg'
9.9779 	EXP 	window1: blendMode = 'avg'
9.9945 	EXP 	window1: blendMode = 'avg'
10.0113 	EXP 	window1: blendMode = 'avg'
10.0279 	EXP 	window1: blendMode = 'avg'
10.0446 	EXP 	window1: blendMode = 'avg'
10.0611 	EXP 	window1: blendMode = 'avg'
10.0779 	EXP 	window1: blendMode = 'avg'
10.0948 	EXP 	window1: blendMode = 'avg'
10.1111 	EXP 	window1: blendMode = 'avg'
10.1278 	EXP 	window1: blendMode = 'avg'
