7.4587 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113e58410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4588 	EXP 	window1: recordFrameIntervals = False
7.6246 	EXP 	window1: recordFrameIntervals = True
7.8079 	EXP 	window1: recordFrameIntervals = False
7.8932 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.8950 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.8961 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.9059 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
7.9152 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.9199 	EXP 	window1: blendMode = 'avg'
7.9413 	EXP 	text_2: autoDraw = True
7.9450 	EXP 	window1: blendMode = 'avg'
7.9588 	EXP 	window1: blendMode = 'avg'
7.9748 	EXP 	window1: blendMode = 'avg'
7.9923 	EXP 	window1: blendMode = 'avg'
8.0086 	EXP 	window1: blendMode = 'avg'
8.0256 	EXP 	window1: blendMode = 'avg'
8.0422 	EXP 	window1: blendMode = 'avg'
8.0588 	EXP 	window1: blendMode = 'avg'
8.0755 	EXP 	window1: blendMode = 'avg'
8.0920 	EXP 	window1: blendMode = 'avg'
8.1088 	EXP 	window1: blendMode = 'avg'
8.1254 	EXP 	window1: blendMode = 'avg'
8.1421 	EXP 	window1: blendMode = 'avg'
8.1588 	EXP 	window1: blendMode = 'avg'
8.1754 	EXP 	window1: blendMode = 'avg'
8.1921 	EXP 	window1: blendMode = 'avg'
8.2089 	EXP 	window1: blendMode = 'avg'
8.2252 	EXP 	window1: blendMode = 'avg'
8.2421 	EXP 	window1: blendMode = 'avg'
8.2589 	EXP 	window1: blendMode = 'avg'
8.2754 	EXP 	window1: blendMode = 'avg'
8.2920 	EXP 	window1: blendMode = 'avg'
8.3088 	EXP 	window1: blendMode = 'avg'
8.3253 	EXP 	window1: blendMode = 'avg'
8.3422 	EXP 	window1: blendMode = 'avg'
8.3587 	EXP 	window1: blendMode = 'avg'
8.3754 	EXP 	window1: blendMode = 'avg'
8.3921 	EXP 	window1: blendMode = 'avg'
8.4089 	EXP 	window1: blendMode = 'avg'
8.4254 	EXP 	window1: blendMode = 'avg'
8.4422 	EXP 	window1: blendMode = 'avg'
8.4587 	EXP 	window1: blendMode = 'avg'
8.4755 	EXP 	window1: blendMode = 'avg'
8.4921 	EXP 	window1: blendMode = 'avg'
8.5088 	EXP 	window1: blendMode = 'avg'
8.5254 	EXP 	window1: blendMode = 'avg'
8.5421 	EXP 	window1: blendMode = 'avg'
8.5588 	EXP 	window1: blendMode = 'avg'
8.5754 	EXP 	window1: blendMode = 'avg'
8.5920 	EXP 	window1: blendMode = 'avg'
8.6088 	EXP 	window1: blendMode = 'avg'
8.6255 	EXP 	window1: blendMode = 'avg'
8.6420 	EXP 	window1: blendMode = 'avg'
8.6589 	EXP 	window1: blendMode = 'avg'
8.6755 	EXP 	window1: blendMode = 'avg'
8.6920 	EXP 	window1: blendMode = 'avg'
8.7088 	EXP 	window1: blendMode = 'avg'
8.7254 	EXP 	window1: blendMode = 'avg'
8.7422 	EXP 	window1: blendMode = 'avg'
8.7580 	EXP 	window1: blendMode = 'avg'
8.7751 	EXP 	window1: blendMode = 'avg'
8.7919 	EXP 	window1: blendMode = 'avg'
8.8084 	EXP 	window1: blendMode = 'avg'
8.8253 	EXP 	window1: blendMode = 'avg'
8.8421 	EXP 	window1: blendMode = 'avg'
8.8586 	EXP 	window1: blendMode = 'avg'
8.8755 	EXP 	window1: blendMode = 'avg'
8.8924 	EXP 	window1: blendMode = 'avg'
8.9086 	EXP 	window1: blendMode = 'avg'
8.9252 	EXP 	window1: blendMode = 'avg'
