9.1858 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113edc410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.1859 	EXP 	window1: recordFrameIntervals = False
9.3560 	EXP 	window1: recordFrameIntervals = True
9.5398 	EXP 	window1: recordFrameIntervals = False
9.6250 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.6266 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.6277 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.6377 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
9.6469 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.6516 	EXP 	window1: blendMode = 'avg'
9.6689 	EXP 	text_2: autoDraw = True
9.6721 	EXP 	window1: blendMode = 'avg'
9.6862 	EXP 	window1: blendMode = 'avg'
9.7030 	EXP 	window1: blendMode = 'avg'
9.7186 	EXP 	window1: blendMode = 'avg'
9.7359 	EXP 	window1: blendMode = 'avg'
9.7535 	EXP 	window1: blendMode = 'avg'
9.7693 	EXP 	window1: blendMode = 'avg'
9.7850 	EXP 	window1: blendMode = 'avg'
9.8026 	EXP 	window1: blendMode = 'avg'
9.8194 	EXP 	window1: blendMode = 'avg'
9.8362 	EXP 	window1: blendMode = 'avg'
9.8529 	EXP 	window1: blendMode = 'avg'
9.8695 	EXP 	window1: blendMode = 'avg'
9.8862 	EXP 	window1: blendMode = 'avg'
9.9027 	EXP 	window1: blendMode = 'avg'
9.9193 	EXP 	window1: blendMode = 'avg'
9.9361 	EXP 	window1: blendMode = 'avg'
9.9529 	EXP 	window1: blendMode = 'avg'
9.9693 	EXP 	window1: blendMode = 'avg'
9.9861 	EXP 	window1: blendMode = 'avg'
10.0027 	EXP 	window1: blendMode = 'avg'
10.0195 	EXP 	window1: blendMode = 'avg'
10.0361 	EXP 	window1: blendMode = 'avg'
10.0526 	EXP 	window1: blendMode = 'avg'
10.0694 	EXP 	window1: blendMode = 'avg'
10.0860 	EXP 	window1: blendMode = 'avg'
10.1026 	EXP 	window1: blendMode = 'avg'
10.1194 	EXP 	window1: blendMode = 'avg'
10.1362 	EXP 	window1: blendMode = 'avg'
10.1529 	EXP 	window1: blendMode = 'avg'
10.1693 	EXP 	window1: blendMode = 'avg'
10.1861 	EXP 	window1: blendMode = 'avg'
10.2022 	EXP 	window1: blendMode = 'avg'
10.2193 	EXP 	window1: blendMode = 'avg'
10.2359 	EXP 	window1: blendMode = 'avg'
10.2525 	EXP 	window1: blendMode = 'avg'
10.2691 	EXP 	window1: blendMode = 'avg'
10.2857 	EXP 	window1: blendMode = 'avg'
10.3022 	EXP 	window1: blendMode = 'avg'
10.3187 	EXP 	window1: blendMode = 'avg'
10.3360 	EXP 	window1: blendMode = 'avg'
10.3529 	EXP 	window1: blendMode = 'avg'
10.3685 	EXP 	window1: blendMode = 'avg'
10.3862 	EXP 	window1: blendMode = 'avg'
10.4027 	EXP 	window1: blendMode = 'avg'
10.4195 	EXP 	window1: blendMode = 'avg'
10.4360 	EXP 	window1: blendMode = 'avg'
10.4528 	EXP 	window1: blendMode = 'avg'
10.4695 	EXP 	window1: blendMode = 'avg'
10.4860 	EXP 	window1: blendMode = 'avg'
