7.6535 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113cc4410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6536 	EXP 	window1: recordFrameIntervals = False
7.8193 	EXP 	window1: recordFrameIntervals = True
8.0030 	EXP 	window1: recordFrameIntervals = False
8.0882 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.0899 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
8.0909 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
8.1037 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
8.1132 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.1179 	EXP 	window1: blendMode = 'avg'
8.1281 	EXP 	text_2: autoDraw = True
8.1318 	EXP 	window1: blendMode = 'avg'
8.1459 	EXP 	window1: blendMode = 'avg'
8.1626 	EXP 	window1: blendMode = 'avg'
8.1793 	EXP 	window1: blendMode = 'avg'
8.1961 	EXP 	window1: blendMode = 'avg'
8.2130 	EXP 	window1: blendMode = 'avg'
8.2292 	EXP 	window1: blendMode = 'avg'
8.2459 	EXP 	window1: blendMode = 'avg'
8.2626 	EXP 	window1: blendMode = 'avg'
8.2793 	EXP 	window1: blendMode = 'avg'
8.2961 	EXP 	window1: blendMode = 'avg'
8.3126 	EXP 	window1: blendMode = 'avg'
8.3293 	EXP 	window1: blendMode = 'avg'
8.3461 	EXP 	window1: blendMode = 'avg'
8.3626 	EXP 	window1: blendMode = 'avg'
8.3794 	EXP 	window1: blendMode = 'avg'
8.3959 	EXP 	window1: blendMode = 'avg'
8.4126 	EXP 	window1: blendMode = 'avg'
8.4295 	EXP 	window1: blendMode = 'avg'
8.4460 	EXP 	window1: blendMode = 'avg'
8.4626 	EXP 	window1: blendMode = 'avg'
8.4793 	EXP 	window1: blendMode = 'avg'
8.4960 	EXP 	window1: blendMode = 'avg'
8.5127 	EXP 	window1: blendMode = 'avg'
8.5293 	EXP 	window1: blendMode = 'avg'
8.5461 	EXP 	window1: blendMode = 'avg'
8.5626 	EXP 	window1: blendMode = 'avg'
8.5794 	EXP 	window1: blendMode = 'avg'
8.5959 	EXP 	window1: blendMode = 'avg'
8.6126 	EXP 	window1: blendMode = 'avg'
8.6294 	EXP 	window1: blendMode = 'avg'
8.6459 	EXP 	window1: blendMode = 'avg'
8.6627 	EXP 	window1: blendMode = 'avg'
8.6794 	EXP 	window1: blendMode = 'avg'
8.6960 	EXP 	window1: blendMode = 'avg'
8.7126 	EXP 	window1: blendMode = 'avg'
8.7294 	EXP 	window1: blendMode = 'avg'
8.7458 	EXP 	window1: blendMode = 'avg'
8.7628 	EXP 	window1: blendMode = 'avg'
8.7795 	EXP 	window1: blendMode = 'avg'
8.7960 	EXP 	window1: blendMode = 'avg'
8.8127 	EXP 	window1: blendMode = 'avg'
8.8291 	EXP 	window1: blendMode = 'avg'
8.8459 	EXP 	window1: blendMode = 'avg'
8.8627 	EXP 	window1: blendMode = 'avg'
8.8793 	EXP 	window1: blendMode = 'avg'
8.8961 	EXP 	window1: blendMode = 'avg'
8.9126 	EXP 	window1: blendMode = 'avg'
8.9295 	EXP 	window1: blendMode = 'avg'
8.9461 	EXP 	window1: blendMode = 'avg'
8.9627 	EXP 	window1: blendMode = 'avg'
8.9794 	EXP 	window1: blendMode = 'avg'
8.9960 	EXP 	window1: blendMode = 'avg'
9.0127 	EXP 	window1: blendMode = 'avg'
9.0294 	EXP 	window1: blendMode = 'avg'
9.0460 	EXP 	window1: blendMode = 'avg'
9.0628 	EXP 	window1: blendMode = 'avg'
9.0790 	EXP 	window1: blendMode = 'avg'
9.0959 	EXP 	window1: blendMode = 'avg'
9.1125 	EXP 	window1: blendMode = 'avg'
9.1292 	EXP 	window1: blendMode = 'avg'
9.1460 	EXP 	window1: blendMode = 'avg'
9.1626 	EXP 	window1: blendMode = 'avg'
