11.4485 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113edb410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.4486 	EXP 	window1: recordFrameIntervals = False
11.6145 	EXP 	window1: recordFrameIntervals = True
11.7980 	EXP 	window1: recordFrameIntervals = False
11.8828 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.8844 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.8855 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.8954 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
11.9050 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.9097 	EXP 	window1: blendMode = 'avg'
11.9307 	EXP 	text_2: autoDraw = True
11.9344 	EXP 	window1: blendMode = 'avg'
11.9485 	EXP 	window1: blendMode = 'avg'
11.9656 	EXP 	window1: blendMode = 'avg'
11.9819 	EXP 	window1: blendMode = 'avg'
11.9987 	EXP 	window1: blendMode = 'avg'
12.0156 	EXP 	window1: blendMode = 'avg'
12.0320 	EXP 	window1: blendMode = 'avg'
12.0486 	EXP 	window1: blendMode = 'avg'
12.0653 	EXP 	window1: blendMode = 'avg'
12.0819 	EXP 	window1: blendMode = 'avg'
12.0984 	EXP 	window1: blendMode = 'avg'
12.1156 	EXP 	window1: blendMode = 'avg'
12.1320 	EXP 	window1: blendMode = 'avg'
12.1482 	EXP 	window1: blendMode = 'avg'
12.1654 	EXP 	window1: blendMode = 'avg'
12.1819 	EXP 	window1: blendMode = 'avg'
12.1975 	EXP 	window1: blendMode = 'avg'
12.2156 	EXP 	window1: blendMode = 'avg'
12.2320 	EXP 	window1: blendMode = 'avg'
12.2486 	EXP 	window1: blendMode = 'avg'
12.2653 	EXP 	window1: blendMode = 'avg'
12.2819 	EXP 	window1: blendMode = 'avg'
12.2984 	EXP 	window1: blendMode = 'avg'
12.3155 	EXP 	window1: blendMode = 'avg'
12.3320 	EXP 	window1: blendMode = 'avg'
12.3486 	EXP 	window1: blendMode = 'avg'
12.3651 	EXP 	window1: blendMode = 'avg'
12.3822 	EXP 	window1: blendMode = 'avg'
12.3986 	EXP 	window1: blendMode = 'avg'
