10.3758 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113ce0410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.3759 	EXP 	window1: recordFrameIntervals = False
10.5419 	EXP 	window1: recordFrameIntervals = True
10.7250 	EXP 	window1: recordFrameIntervals = False
10.8108 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.8124 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
10.8135 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
10.8233 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
10.8326 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.8371 	EXP 	window1: blendMode = 'avg'
10.8532 	EXP 	text_2: autoDraw = True
10.8571 	EXP 	window1: blendMode = 'avg'
10.8714 	EXP 	window1: blendMode = 'avg'
10.8876 	EXP 	window1: blendMode = 'avg'
10.9048 	EXP 	window1: blendMode = 'avg'
10.9210 	EXP 	window1: blendMode = 'avg'
10.9384 	EXP 	window1: blendMode = 'avg'
10.9546 	EXP 	window1: blendMode = 'avg'
10.9707 	EXP 	window1: blendMode = 'avg'
10.9879 	EXP 	window1: blendMode = 'avg'
11.0041 	EXP 	window1: blendMode = 'avg'
11.0213 	EXP 	window1: blendMode = 'avg'
11.0378 	EXP 	window1: blendMode = 'avg'
11.0550 	EXP 	window1: blendMode = 'avg'
11.0712 	EXP 	window1: blendMode = 'avg'
11.0883 	EXP 	window1: blendMode = 'avg'
11.1044 	EXP 	window1: blendMode = 'avg'
11.1216 	EXP 	window1: blendMode = 'avg'
11.1377 	EXP 	window1: blendMode = 'avg'
11.1548 	EXP 	window1: blendMode = 'avg'
11.1711 	EXP 	window1: blendMode = 'avg'
11.1882 	EXP 	window1: blendMode = 'avg'
11.2045 	EXP 	window1: blendMode = 'avg'
11.2214 	EXP 	window1: blendMode = 'avg'
11.2376 	EXP 	window1: blendMode = 'avg'
11.2549 	EXP 	window1: blendMode = 'avg'
11.2711 	EXP 	window1: blendMode = 'avg'
11.2883 	EXP 	window1: blendMode = 'avg'
11.3045 	EXP 	window1: blendMode = 'avg'
11.3215 	EXP 	window1: blendMode = 'avg'
11.3376 	EXP 	window1: blendMode = 'avg'
11.3548 	EXP 	window1: blendMode = 'avg'
11.3709 	EXP 	window1: blendMode = 'avg'
11.3881 	EXP 	window1: blendMode = 'avg'
11.4043 	EXP 	window1: blendMode = 'avg'
11.4214 	EXP 	window1: blendMode = 'avg'
11.4375 	EXP 	window1: blendMode = 'avg'
11.4548 	EXP 	window1: blendMode = 'avg'
11.4709 	EXP 	window1: blendMode = 'avg'
11.4881 	EXP 	window1: blendMode = 'avg'
11.5043 	EXP 	window1: blendMode = 'avg'
11.5216 	EXP 	window1: blendMode = 'avg'
11.5378 	EXP 	window1: blendMode = 'avg'
11.5549 	EXP 	window1: blendMode = 'avg'
11.5709 	EXP 	window1: blendMode = 'avg'
11.5881 	EXP 	window1: blendMode = 'avg'
11.6043 	EXP 	window1: blendMode = 'avg'
11.6215 	EXP 	window1: blendMode = 'avg'
11.6376 	EXP 	window1: blendMode = 'avg'
11.6548 	EXP 	window1: blendMode = 'avg'
11.6709 	EXP 	window1: blendMode = 'avg'
11.6881 	EXP 	window1: blendMode = 'avg'
11.7048 	EXP 	window1: blendMode = 'avg'
11.7214 	EXP 	window1: blendMode = 'avg'
11.7375 	EXP 	window1: blendMode = 'avg'
11.7548 	EXP 	window1: blendMode = 'avg'
11.7713 	EXP 	window1: blendMode = 'avg'
11.7882 	EXP 	window1: blendMode = 'avg'
11.8045 	EXP 	window1: blendMode = 'avg'
11.8211 	EXP 	window1: blendMode = 'avg'
11.8382 	EXP 	window1: blendMode = 'avg'
11.8544 	EXP 	window1: blendMode = 'avg'
11.8715 	EXP 	window1: blendMode = 'avg'
11.8878 	EXP 	window1: blendMode = 'avg'
11.9049 	EXP 	window1: blendMode = 'avg'
11.9212 	EXP 	window1: blendMode = 'avg'
11.9373 	EXP 	window1: blendMode = 'avg'
11.9545 	EXP 	window1: blendMode = 'avg'
11.9706 	EXP 	window1: blendMode = 'avg'
11.9879 	EXP 	window1: blendMode = 'avg'
12.0039 	EXP 	window1: blendMode = 'avg'
12.0206 	EXP 	window1: blendMode = 'avg'
12.0377 	EXP 	window1: blendMode = 'avg'
12.0572 	EXP 	window1: blendMode = 'avg'
12.0739 	EXP 	window1: blendMode = 'avg'
12.0906 	EXP 	window1: blendMode = 'avg'
12.1073 	EXP 	window1: blendMode = 'avg'
12.1239 	EXP 	window1: blendMode = 'avg'
12.1405 	EXP 	window1: blendMode = 'avg'
12.1569 	EXP 	window1: blendMode = 'avg'
12.1740 	EXP 	window1: blendMode = 'avg'
12.1905 	EXP 	window1: blendMode = 'avg'
12.2072 	EXP 	window1: blendMode = 'avg'
12.2238 	EXP 	window1: blendMode = 'avg'
12.2405 	EXP 	window1: blendMode = 'avg'
12.2568 	EXP 	window1: blendMode = 'avg'
12.2740 	EXP 	window1: blendMode = 'avg'
12.2905 	EXP 	window1: blendMode = 'avg'
12.3072 	EXP 	window1: blendMode = 'avg'
12.3239 	EXP 	window1: blendMode = 'avg'
12.3404 	EXP 	window1: blendMode = 'avg'
12.3571 	EXP 	window1: blendMode = 'avg'
12.3738 	EXP 	window1: blendMode = 'avg'
12.3905 	EXP 	window1: blendMode = 'avg'
12.4071 	EXP 	window1: blendMode = 'avg'
