13.4241 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1147dc410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.4242 	EXP 	window1: recordFrameIntervals = False
13.5902 	EXP 	window1: recordFrameIntervals = True
13.7736 	EXP 	window1: recordFrameIntervals = False
13.8588 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.8606 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
13.8617 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
13.8714 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
13.8808 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.8853 	EXP 	window1: blendMode = 'avg'
13.9059 	EXP 	text_2: autoDraw = True
13.9095 	EXP 	window1: blendMode = 'avg'
13.9242 	EXP 	window1: blendMode = 'avg'
13.9409 	EXP 	window1: blendMode = 'avg'
13.9576 	EXP 	window1: blendMode = 'avg'
13.9741 	EXP 	window1: blendMode = 'avg'
13.9911 	EXP 	window1: blendMode = 'avg'
14.0076 	EXP 	window1: blendMode = 'avg'
14.0242 	EXP 	window1: blendMode = 'avg'
14.0406 	EXP 	window1: blendMode = 'avg'
14.0578 	EXP 	window1: blendMode = 'avg'
14.0743 	EXP 	window1: blendMode = 'avg'
14.0908 	EXP 	window1: blendMode = 'avg'
14.1074 	EXP 	window1: blendMode = 'avg'
14.1242 	EXP 	window1: blendMode = 'avg'
14.1409 	EXP 	window1: blendMode = 'avg'
14.1575 	EXP 	window1: blendMode = 'avg'
14.1741 	EXP 	window1: blendMode = 'avg'
14.1902 	EXP 	window1: blendMode = 'avg'
14.2077 	EXP 	window1: blendMode = 'avg'
14.2242 	EXP 	window1: blendMode = 'avg'
14.2409 	EXP 	window1: blendMode = 'avg'
14.2575 	EXP 	window1: blendMode = 'avg'
14.2743 	EXP 	window1: blendMode = 'avg'
14.2908 	EXP 	window1: blendMode = 'avg'
14.3080 	EXP 	window1: blendMode = 'avg'
14.3244 	EXP 	window1: blendMode = 'avg'
14.3407 	EXP 	window1: blendMode = 'avg'
14.3575 	EXP 	window1: blendMode = 'avg'
14.3743 	EXP 	window1: blendMode = 'avg'
14.3909 	EXP 	window1: blendMode = 'avg'
14.4074 	EXP 	window1: blendMode = 'avg'
14.4242 	EXP 	window1: blendMode = 'avg'
14.4406 	EXP 	window1: blendMode = 'avg'
14.4577 	EXP 	window1: blendMode = 'avg'
14.4742 	EXP 	window1: blendMode = 'avg'
14.4909 	EXP 	window1: blendMode = 'avg'
14.5073 	EXP 	window1: blendMode = 'avg'
14.5244 	EXP 	window1: blendMode = 'avg'
14.5410 	EXP 	window1: blendMode = 'avg'
14.5576 	EXP 	window1: blendMode = 'avg'
14.5742 	EXP 	window1: blendMode = 'avg'
14.5909 	EXP 	window1: blendMode = 'avg'
14.6074 	EXP 	window1: blendMode = 'avg'
14.6242 	EXP 	window1: blendMode = 'avg'
14.6409 	EXP 	window1: blendMode = 'avg'
14.6576 	EXP 	window1: blendMode = 'avg'
14.6740 	EXP 	window1: blendMode = 'avg'
14.6909 	EXP 	window1: blendMode = 'avg'
14.7075 	EXP 	window1: blendMode = 'avg'
14.7242 	EXP 	window1: blendMode = 'avg'
14.7406 	EXP 	window1: blendMode = 'avg'
14.7578 	EXP 	window1: blendMode = 'avg'
14.7743 	EXP 	window1: blendMode = 'avg'
14.7908 	EXP 	window1: blendMode = 'avg'
14.8076 	EXP 	window1: blendMode = 'avg'
14.8242 	EXP 	window1: blendMode = 'avg'
14.8409 	EXP 	window1: blendMode = 'avg'
14.8576 	EXP 	window1: blendMode = 'avg'
14.8740 	EXP 	window1: blendMode = 'avg'
14.8911 	EXP 	window1: blendMode = 'avg'
14.9075 	EXP 	window1: blendMode = 'avg'
14.9242 	EXP 	window1: blendMode = 'avg'
14.9407 	EXP 	window1: blendMode = 'avg'
14.9578 	EXP 	window1: blendMode = 'avg'
14.9742 	EXP 	window1: blendMode = 'avg'
14.9908 	EXP 	window1: blendMode = 'avg'
15.0074 	EXP 	window1: blendMode = 'avg'
15.0242 	EXP 	window1: blendMode = 'avg'
15.0409 	EXP 	window1: blendMode = 'avg'
15.0575 	EXP 	window1: blendMode = 'avg'
15.0742 	EXP 	window1: blendMode = 'avg'
15.0908 	EXP 	window1: blendMode = 'avg'
15.1073 	EXP 	window1: blendMode = 'avg'
15.1244 	EXP 	window1: blendMode = 'avg'
15.1409 	EXP 	window1: blendMode = 'avg'
15.1575 	EXP 	window1: blendMode = 'avg'
15.1742 	EXP 	window1: blendMode = 'avg'
15.1906 	EXP 	window1: blendMode = 'avg'
15.2078 	EXP 	window1: blendMode = 'avg'
15.2242 	EXP 	window1: blendMode = 'avg'
15.2404 	EXP 	window1: blendMode = 'avg'
15.2578 	EXP 	window1: blendMode = 'avg'
15.2743 	EXP 	window1: blendMode = 'avg'
15.2908 	EXP 	window1: blendMode = 'avg'
15.3074 	EXP 	window1: blendMode = 'avg'
15.3245 	EXP 	window1: blendMode = 'avg'
15.3409 	EXP 	window1: blendMode = 'avg'
15.3575 	EXP 	window1: blendMode = 'avg'
15.3742 	EXP 	window1: blendMode = 'avg'
15.3908 	EXP 	window1: blendMode = 'avg'
15.4076 	EXP 	window1: blendMode = 'avg'
15.4242 	EXP 	window1: blendMode = 'avg'
15.4408 	EXP 	window1: blendMode = 'avg'
15.4575 	EXP 	window1: blendMode = 'avg'
15.4743 	EXP 	window1: blendMode = 'avg'
15.4909 	EXP 	window1: blendMode = 'avg'
15.5074 	EXP 	window1: blendMode = 'avg'
15.5242 	EXP 	window1: blendMode = 'avg'
15.5408 	EXP 	window1: blendMode = 'avg'
15.5575 	EXP 	window1: blendMode = 'avg'
15.5740 	EXP 	window1: blendMode = 'avg'
15.5911 	EXP 	window1: blendMode = 'avg'
15.6076 	EXP 	window1: blendMode = 'avg'
15.6242 	EXP 	window1: blendMode = 'avg'
15.6407 	EXP 	window1: blendMode = 'avg'
15.6578 	EXP 	window1: blendMode = 'avg'
15.6742 	EXP 	window1: blendMode = 'avg'
15.6909 	EXP 	window1: blendMode = 'avg'
15.7073 	EXP 	window1: blendMode = 'avg'
15.7245 	EXP 	window1: blendMode = 'avg'
15.7408 	EXP 	window1: blendMode = 'avg'
15.7575 	EXP 	window1: blendMode = 'avg'
15.7739 	EXP 	window1: blendMode = 'avg'
15.7911 	EXP 	window1: blendMode = 'avg'
15.8076 	EXP 	window1: blendMode = 'avg'
15.8242 	EXP 	window1: blendMode = 'avg'
15.8406 	EXP 	window1: blendMode = 'avg'
15.8577 	EXP 	window1: blendMode = 'avg'
15.8742 	EXP 	window1: blendMode = 'avg'
15.8909 	EXP 	window1: blendMode = 'avg'
15.9073 	EXP 	window1: blendMode = 'avg'
15.9244 	EXP 	window1: blendMode = 'avg'
15.9408 	EXP 	window1: blendMode = 'avg'
15.9575 	EXP 	window1: blendMode = 'avg'
15.9738 	EXP 	window1: blendMode = 'avg'
15.9910 	EXP 	window1: blendMode = 'avg'
16.0075 	EXP 	window1: blendMode = 'avg'
16.0242 	EXP 	window1: blendMode = 'avg'
16.0405 	EXP 	window1: blendMode = 'avg'
16.0577 	EXP 	window1: blendMode = 'avg'
16.0742 	EXP 	window1: blendMode = 'avg'
16.0908 	EXP 	window1: blendMode = 'avg'
16.1076 	EXP 	window1: blendMode = 'avg'
16.1243 	EXP 	window1: blendMode = 'avg'
16.1410 	EXP 	window1: blendMode = 'avg'
16.1575 	EXP 	window1: blendMode = 'avg'
16.1741 	EXP 	window1: blendMode = 'avg'
16.1908 	EXP 	window1: blendMode = 'avg'
16.2072 	EXP 	window1: blendMode = 'avg'
16.2241 	EXP 	window1: blendMode = 'avg'
16.2409 	EXP 	window1: blendMode = 'avg'
16.2575 	EXP 	window1: blendMode = 'avg'
16.2742 	EXP 	window1: blendMode = 'avg'
16.2909 	EXP 	window1: blendMode = 'avg'
16.3076 	EXP 	window1: blendMode = 'avg'
16.3242 	EXP 	window1: blendMode = 'avg'
16.3409 	EXP 	window1: blendMode = 'avg'
16.3575 	EXP 	window1: blendMode = 'avg'
16.3742 	EXP 	window1: blendMode = 'avg'
16.3909 	EXP 	window1: blendMode = 'avg'
16.4074 	EXP 	window1: blendMode = 'avg'
16.4242 	EXP 	window1: blendMode = 'avg'
16.4408 	EXP 	window1: blendMode = 'avg'
16.4575 	EXP 	window1: blendMode = 'avg'
16.4740 	EXP 	window1: blendMode = 'avg'
16.4911 	EXP 	window1: blendMode = 'avg'
16.5075 	EXP 	window1: blendMode = 'avg'
16.5242 	EXP 	window1: blendMode = 'avg'
16.5407 	EXP 	window1: blendMode = 'avg'
16.5578 	EXP 	window1: blendMode = 'avg'
16.5743 	EXP 	window1: blendMode = 'avg'
16.5904 	EXP 	window1: blendMode = 'avg'
16.6068 	EXP 	window1: blendMode = 'avg'
16.6233 	EXP 	window1: blendMode = 'avg'
16.6409 	EXP 	window1: blendMode = 'avg'
16.6575 	EXP 	window1: blendMode = 'avg'
16.6740 	EXP 	window1: blendMode = 'avg'
16.6911 	EXP 	window1: blendMode = 'avg'
16.7076 	EXP 	window1: blendMode = 'avg'
16.7243 	EXP 	window1: blendMode = 'avg'
16.7409 	EXP 	window1: blendMode = 'avg'
16.7575 	EXP 	window1: blendMode = 'avg'
16.7736 	EXP 	window1: blendMode = 'avg'
16.7908 	EXP 	window1: blendMode = 'avg'
16.8076 	EXP 	window1: blendMode = 'avg'
16.8242 	EXP 	window1: blendMode = 'avg'
16.8409 	EXP 	window1: blendMode = 'avg'
16.8575 	EXP 	window1: blendMode = 'avg'
16.8739 	EXP 	window1: blendMode = 'avg'
16.8911 	EXP 	window1: blendMode = 'avg'
16.9086 	EXP 	window1: blendMode = 'avg'
16.9243 	EXP 	window1: blendMode = 'avg'
16.9406 	EXP 	window1: blendMode = 'avg'
16.9577 	EXP 	window1: blendMode = 'avg'
16.9742 	EXP 	window1: blendMode = 'avg'
16.9908 	EXP 	window1: blendMode = 'avg'
17.0073 	EXP 	window1: blendMode = 'avg'
17.0244 	EXP 	window1: blendMode = 'avg'
17.0408 	EXP 	window1: blendMode = 'avg'
17.0575 	EXP 	window1: blendMode = 'avg'
17.0740 	EXP 	window1: blendMode = 'avg'
17.0914 	EXP 	window1: blendMode = 'avg'
17.1066 	EXP 	window1: blendMode = 'avg'
17.1241 	EXP 	window1: blendMode = 'avg'
17.1408 	EXP 	window1: blendMode = 'avg'
17.1575 	EXP 	window1: blendMode = 'avg'
17.1739 	EXP 	window1: blendMode = 'avg'
17.1912 	EXP 	window1: blendMode = 'avg'
17.2075 	EXP 	window1: blendMode = 'avg'
17.2242 	EXP 	window1: blendMode = 'avg'
17.2407 	EXP 	window1: blendMode = 'avg'
17.2575 	EXP 	window1: blendMode = 'avg'
17.2742 	EXP 	window1: blendMode = 'avg'
17.2908 	EXP 	window1: blendMode = 'avg'
17.3073 	EXP 	window1: blendMode = 'avg'
17.3244 	EXP 	window1: blendMode = 'avg'
17.3409 	EXP 	window1: blendMode = 'avg'
17.3575 	EXP 	window1: blendMode = 'avg'
17.3739 	EXP 	window1: blendMode = 'avg'
17.3910 	EXP 	window1: blendMode = 'avg'
17.4076 	EXP 	window1: blendMode = 'avg'
17.4242 	EXP 	window1: blendMode = 'avg'
17.4408 	EXP 	window1: blendMode = 'avg'
17.4584 	EXP 	window1: blendMode = 'avg'
17.4739 	EXP 	window1: blendMode = 'avg'
17.4900 	EXP 	window1: blendMode = 'avg'
17.5067 	EXP 	window1: blendMode = 'avg'
17.5242 	EXP 	window1: blendMode = 'avg'
17.5408 	EXP 	window1: blendMode = 'avg'
17.5575 	EXP 	window1: blendMode = 'avg'
17.5739 	EXP 	window1: blendMode = 'avg'
17.5912 	EXP 	window1: blendMode = 'avg'
17.6078 	EXP 	window1: blendMode = 'avg'
17.6241 	EXP 	window1: blendMode = 'avg'
17.6409 	EXP 	window1: blendMode = 'avg'
17.6575 	EXP 	window1: blendMode = 'avg'
17.6739 	EXP 	window1: blendMode = 'avg'
17.6910 	EXP 	window1: blendMode = 'avg'
17.7075 	EXP 	window1: blendMode = 'avg'
17.7242 	EXP 	window1: blendMode = 'avg'
17.7407 	EXP 	window1: blendMode = 'avg'
17.7576 	EXP 	window1: blendMode = 'avg'
17.7742 	EXP 	window1: blendMode = 'avg'
17.7908 	EXP 	window1: blendMode = 'avg'
17.8073 	EXP 	window1: blendMode = 'avg'
17.8244 	EXP 	window1: blendMode = 'avg'
17.8409 	EXP 	window1: blendMode = 'avg'
17.8580 	EXP 	window1: blendMode = 'avg'
17.8745 	EXP 	window1: blendMode = 'avg'
17.8911 	EXP 	window1: blendMode = 'avg'
17.9075 	EXP 	window1: blendMode = 'avg'
17.9241 	EXP 	window1: blendMode = 'avg'
17.9401 	EXP 	window1: blendMode = 'avg'
17.9575 	EXP 	window1: blendMode = 'avg'
17.9742 	EXP 	window1: blendMode = 'avg'
17.9908 	EXP 	window1: blendMode = 'avg'
18.0073 	EXP 	window1: blendMode = 'avg'
18.0244 	EXP 	window1: blendMode = 'avg'
18.0408 	EXP 	window1: blendMode = 'avg'
18.0575 	EXP 	window1: blendMode = 'avg'
18.0739 	EXP 	window1: blendMode = 'avg'
18.0911 	EXP 	window1: blendMode = 'avg'
18.1075 	EXP 	window1: blendMode = 'avg'
18.1239 	EXP 	window1: blendMode = 'avg'
18.1396 	EXP 	window1: blendMode = 'avg'
18.1577 	EXP 	window1: blendMode = 'avg'
18.1742 	EXP 	window1: blendMode = 'avg'
18.1908 	EXP 	window1: blendMode = 'avg'
18.2072 	EXP 	window1: blendMode = 'avg'
18.2244 	EXP 	window1: blendMode = 'avg'
18.2409 	EXP 	window1: blendMode = 'avg'
18.2575 	EXP 	window1: blendMode = 'avg'
18.2742 	EXP 	window1: blendMode = 'avg'
18.2909 	EXP 	window1: blendMode = 'avg'
18.3075 	EXP 	window1: blendMode = 'avg'
18.3241 	EXP 	window1: blendMode = 'avg'
18.3406 	EXP 	window1: blendMode = 'avg'
18.3578 	EXP 	window1: blendMode = 'avg'
18.3742 	EXP 	window1: blendMode = 'avg'
18.3908 	EXP 	window1: blendMode = 'avg'
18.4074 	EXP 	window1: blendMode = 'avg'
18.4241 	EXP 	window1: blendMode = 'avg'
18.4408 	EXP 	window1: blendMode = 'avg'
18.4575 	EXP 	window1: blendMode = 'avg'
18.4739 	EXP 	window1: blendMode = 'avg'
18.4910 	EXP 	window1: blendMode = 'avg'
18.5075 	EXP 	window1: blendMode = 'avg'
18.5241 	EXP 	window1: blendMode = 'avg'
18.5409 	EXP 	window1: blendMode = 'avg'
18.5565 	EXP 	window1: blendMode = 'avg'
18.5738 	EXP 	window1: blendMode = 'avg'
18.5910 	EXP 	window1: blendMode = 'avg'
18.6073 	EXP 	window1: blendMode = 'avg'
18.6241 	EXP 	window1: blendMode = 'avg'
18.6406 	EXP 	window1: blendMode = 'avg'
18.6577 	EXP 	window1: blendMode = 'avg'
18.6741 	EXP 	window1: blendMode = 'avg'
18.6908 	EXP 	window1: blendMode = 'avg'
18.7076 	EXP 	window1: blendMode = 'avg'
18.7242 	EXP 	window1: blendMode = 'avg'
18.7407 	EXP 	window1: blendMode = 'avg'
18.7575 	EXP 	window1: blendMode = 'avg'
18.7738 	EXP 	window1: blendMode = 'avg'
18.7909 	EXP 	window1: blendMode = 'avg'
18.8075 	EXP 	window1: blendMode = 'avg'
18.8241 	EXP 	window1: blendMode = 'avg'
18.8406 	EXP 	window1: blendMode = 'avg'
18.8577 	EXP 	window1: blendMode = 'avg'
18.8741 	EXP 	window1: blendMode = 'avg'
18.8908 	EXP 	window1: blendMode = 'avg'
18.9073 	EXP 	window1: blendMode = 'avg'
18.9244 	EXP 	window1: blendMode = 'avg'
18.9408 	EXP 	window1: blendMode = 'avg'
18.9575 	EXP 	window1: blendMode = 'avg'
18.9739 	EXP 	window1: blendMode = 'avg'
18.9910 	EXP 	window1: blendMode = 'avg'
19.0075 	EXP 	window1: blendMode = 'avg'
19.0242 	EXP 	window1: blendMode = 'avg'
19.0406 	EXP 	window1: blendMode = 'avg'
19.0575 	EXP 	window1: blendMode = 'avg'
19.0742 	EXP 	window1: blendMode = 'avg'
19.0908 	EXP 	window1: blendMode = 'avg'
19.1073 	EXP 	window1: blendMode = 'avg'
19.1244 	EXP 	window1: blendMode = 'avg'
19.1409 	EXP 	window1: blendMode = 'avg'
19.1568 	EXP 	window1: blendMode = 'avg'
19.1739 	EXP 	window1: blendMode = 'avg'
19.1910 	EXP 	window1: blendMode = 'avg'
19.2077 	EXP 	window1: blendMode = 'avg'
19.2241 	EXP 	window1: blendMode = 'avg'
19.2409 	EXP 	window1: blendMode = 'avg'
19.2575 	EXP 	window1: blendMode = 'avg'
19.2741 	EXP 	window1: blendMode = 'avg'
19.2908 	EXP 	window1: blendMode = 'avg'
19.3072 	EXP 	window1: blendMode = 'avg'
19.3244 	EXP 	window1: blendMode = 'avg'
19.3408 	EXP 	window1: blendMode = 'avg'
19.3575 	EXP 	window1: blendMode = 'avg'
19.3738 	EXP 	window1: blendMode = 'avg'
19.3909 	EXP 	window1: blendMode = 'avg'
19.4075 	EXP 	window1: blendMode = 'avg'
19.4241 	EXP 	window1: blendMode = 'avg'
19.4406 	EXP 	window1: blendMode = 'avg'
19.4569 	EXP 	window1: blendMode = 'avg'
19.4738 	EXP 	window1: blendMode = 'avg'
19.4895 	EXP 	window1: blendMode = 'avg'
