11.3907 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113d1c410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.3908 	EXP 	window1: recordFrameIntervals = False
11.5581 	EXP 	window1: recordFrameIntervals = True
11.7415 	EXP 	window1: recordFrameIntervals = False
11.8267 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.8283 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.8294 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
11.8423 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
11.8516 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.8563 	EXP 	window1: blendMode = 'avg'
11.8736 	EXP 	text_2: autoDraw = True
11.8773 	EXP 	window1: blendMode = 'avg'
11.8921 	EXP 	window1: blendMode = 'avg'
11.9089 	EXP 	window1: blendMode = 'avg'
11.9256 	EXP 	window1: blendMode = 'avg'
11.9421 	EXP 	window1: blendMode = 'avg'
11.9591 	EXP 	window1: blendMode = 'avg'
11.9756 	EXP 	window1: blendMode = 'avg'
11.9921 	EXP 	window1: blendMode = 'avg'
12.0089 	EXP 	window1: blendMode = 'avg'
12.0255 	EXP 	window1: blendMode = 'avg'
12.0423 	EXP 	window1: blendMode = 'avg'
12.0588 	EXP 	window1: blendMode = 'avg'
12.0755 	EXP 	window1: blendMode = 'avg'
12.0923 	EXP 	window1: blendMode = 'avg'
12.1092 	EXP 	window1: blendMode = 'avg'
12.1254 	EXP 	window1: blendMode = 'avg'
12.1423 	EXP 	window1: blendMode = 'avg'
12.1591 	EXP 	window1: blendMode = 'avg'
12.1756 	EXP 	window1: blendMode = 'avg'
12.1921 	EXP 	window1: blendMode = 'avg'
12.2089 	EXP 	window1: blendMode = 'avg'
12.2256 	EXP 	window1: blendMode = 'avg'
12.2421 	EXP 	window1: blendMode = 'avg'
12.2589 	EXP 	window1: blendMode = 'avg'
12.2756 	EXP 	window1: blendMode = 'avg'
12.2923 	EXP 	window1: blendMode = 'avg'
12.3089 	EXP 	window1: blendMode = 'avg'
12.3256 	EXP 	window1: blendMode = 'avg'
12.3422 	EXP 	window1: blendMode = 'avg'
12.3589 	EXP 	window1: blendMode = 'avg'
12.3754 	EXP 	window1: blendMode = 'avg'
12.3921 	EXP 	window1: blendMode = 'avg'
12.4090 	EXP 	window1: blendMode = 'avg'
12.4255 	EXP 	window1: blendMode = 'avg'
12.4423 	EXP 	window1: blendMode = 'avg'
12.4593 	EXP 	window1: blendMode = 'avg'
12.4754 	EXP 	window1: blendMode = 'avg'
12.4921 	EXP 	window1: blendMode = 'avg'
12.5088 	EXP 	window1: blendMode = 'avg'
12.5256 	EXP 	window1: blendMode = 'avg'
12.5423 	EXP 	window1: blendMode = 'avg'
12.5584 	EXP 	window1: blendMode = 'avg'
12.5754 	EXP 	window1: blendMode = 'avg'
12.5922 	EXP 	window1: blendMode = 'avg'
12.6090 	EXP 	window1: blendMode = 'avg'
12.6255 	EXP 	window1: blendMode = 'avg'
12.6423 	EXP 	window1: blendMode = 'avg'
12.6588 	EXP 	window1: blendMode = 'avg'
12.6755 	EXP 	window1: blendMode = 'avg'
12.6923 	EXP 	window1: blendMode = 'avg'
12.7088 	EXP 	window1: blendMode = 'avg'
12.7255 	EXP 	window1: blendMode = 'avg'
12.7422 	EXP 	window1: blendMode = 'avg'
12.7588 	EXP 	window1: blendMode = 'avg'
12.7745 	EXP 	window1: blendMode = 'avg'
12.7922 	EXP 	window1: blendMode = 'avg'
12.8090 	EXP 	window1: blendMode = 'avg'
12.8255 	EXP 	window1: blendMode = 'avg'
12.8423 	EXP 	window1: blendMode = 'avg'
12.8587 	EXP 	window1: blendMode = 'avg'
12.8755 	EXP 	window1: blendMode = 'avg'
12.8922 	EXP 	window1: blendMode = 'avg'
12.9090 	EXP 	window1: blendMode = 'avg'
12.9255 	EXP 	window1: blendMode = 'avg'
12.9422 	EXP 	window1: blendMode = 'avg'
12.9590 	EXP 	window1: blendMode = 'avg'
12.9755 	EXP 	window1: blendMode = 'avg'
12.9922 	EXP 	window1: blendMode = 'avg'
13.0087 	EXP 	window1: blendMode = 'avg'
13.0256 	EXP 	window1: blendMode = 'avg'
13.0424 	EXP 	window1: blendMode = 'avg'
13.0589 	EXP 	window1: blendMode = 'avg'
13.0756 	EXP 	window1: blendMode = 'avg'
13.0922 	EXP 	window1: blendMode = 'avg'
13.1089 	EXP 	window1: blendMode = 'avg'
13.1256 	EXP 	window1: blendMode = 'avg'
13.1423 	EXP 	window1: blendMode = 'avg'
13.1588 	EXP 	window1: blendMode = 'avg'
13.1756 	EXP 	window1: blendMode = 'avg'
13.1922 	EXP 	window1: blendMode = 'avg'
13.2088 	EXP 	window1: blendMode = 'avg'
13.2257 	EXP 	window1: blendMode = 'avg'
13.2423 	EXP 	window1: blendMode = 'avg'
13.2590 	EXP 	window1: blendMode = 'avg'
13.2755 	EXP 	window1: blendMode = 'avg'
13.2921 	EXP 	window1: blendMode = 'avg'
13.3090 	EXP 	window1: blendMode = 'avg'
13.3255 	EXP 	window1: blendMode = 'avg'
13.3423 	EXP 	window1: blendMode = 'avg'
13.3590 	EXP 	window1: blendMode = 'avg'
13.3755 	EXP 	window1: blendMode = 'avg'
13.3923 	EXP 	window1: blendMode = 'avg'
13.4091 	EXP 	window1: blendMode = 'avg'
13.4254 	EXP 	window1: blendMode = 'avg'
13.4422 	EXP 	window1: blendMode = 'avg'
13.4589 	EXP 	window1: blendMode = 'avg'
13.4755 	EXP 	window1: blendMode = 'avg'
13.4922 	EXP 	window1: blendMode = 'avg'
13.5090 	EXP 	window1: blendMode = 'avg'
13.5255 	EXP 	window1: blendMode = 'avg'
13.5423 	EXP 	window1: blendMode = 'avg'
13.5589 	EXP 	window1: blendMode = 'avg'
13.5755 	EXP 	window1: blendMode = 'avg'
13.5923 	EXP 	window1: blendMode = 'avg'
13.6088 	EXP 	window1: blendMode = 'avg'
13.6257 	EXP 	window1: blendMode = 'avg'
13.6422 	EXP 	window1: blendMode = 'avg'
13.6588 	EXP 	window1: blendMode = 'avg'
13.6755 	EXP 	window1: blendMode = 'avg'
13.6922 	EXP 	window1: blendMode = 'avg'
13.7088 	EXP 	window1: blendMode = 'avg'
13.7255 	EXP 	window1: blendMode = 'avg'
13.7421 	EXP 	window1: blendMode = 'avg'
13.7588 	EXP 	window1: blendMode = 'avg'
13.7756 	EXP 	window1: blendMode = 'avg'
13.7923 	EXP 	window1: blendMode = 'avg'
13.8090 	EXP 	window1: blendMode = 'avg'
13.8255 	EXP 	window1: blendMode = 'avg'
13.8423 	EXP 	window1: blendMode = 'avg'
13.8589 	EXP 	window1: blendMode = 'avg'
13.8756 	EXP 	window1: blendMode = 'avg'
13.8921 	EXP 	window1: blendMode = 'avg'
13.9088 	EXP 	window1: blendMode = 'avg'
13.9256 	EXP 	window1: blendMode = 'avg'
13.9422 	EXP 	window1: blendMode = 'avg'
13.9589 	EXP 	window1: blendMode = 'avg'
13.9754 	EXP 	window1: blendMode = 'avg'
13.9921 	EXP 	window1: blendMode = 'avg'
14.0089 	EXP 	window1: blendMode = 'avg'
14.0254 	EXP 	window1: blendMode = 'avg'
14.0421 	EXP 	window1: blendMode = 'avg'
14.0589 	EXP 	window1: blendMode = 'avg'
14.0757 	EXP 	window1: blendMode = 'avg'
14.0922 	EXP 	window1: blendMode = 'avg'
14.1090 	EXP 	window1: blendMode = 'avg'
14.1255 	EXP 	window1: blendMode = 'avg'
14.1423 	EXP 	window1: blendMode = 'avg'
14.1588 	EXP 	window1: blendMode = 'avg'
14.1756 	EXP 	window1: blendMode = 'avg'
14.1921 	EXP 	window1: blendMode = 'avg'
14.2089 	EXP 	window1: blendMode = 'avg'
14.2253 	EXP 	window1: blendMode = 'avg'
14.2422 	EXP 	window1: blendMode = 'avg'
14.2589 	EXP 	window1: blendMode = 'avg'
14.2755 	EXP 	window1: blendMode = 'avg'
14.2923 	EXP 	window1: blendMode = 'avg'
14.3090 	EXP 	window1: blendMode = 'avg'
14.3254 	EXP 	window1: blendMode = 'avg'
14.3423 	EXP 	window1: blendMode = 'avg'
14.3588 	EXP 	window1: blendMode = 'avg'
14.3753 	EXP 	window1: blendMode = 'avg'
14.3921 	EXP 	window1: blendMode = 'avg'
14.4088 	EXP 	window1: blendMode = 'avg'
14.4256 	EXP 	window1: blendMode = 'avg'
14.4422 	EXP 	window1: blendMode = 'avg'
14.4589 	EXP 	window1: blendMode = 'avg'
14.4756 	EXP 	window1: blendMode = 'avg'
14.4923 	EXP 	window1: blendMode = 'avg'
14.5088 	EXP 	window1: blendMode = 'avg'
14.5256 	EXP 	window1: blendMode = 'avg'
14.5421 	EXP 	window1: blendMode = 'avg'
14.5588 	EXP 	window1: blendMode = 'avg'
14.5753 	EXP 	window1: blendMode = 'avg'
14.5922 	EXP 	window1: blendMode = 'avg'
14.6090 	EXP 	window1: blendMode = 'avg'
14.6239 	EXP 	window1: blendMode = 'avg'
14.6409 	EXP 	window1: blendMode = 'avg'
14.6580 	EXP 	window1: blendMode = 'avg'
14.6756 	EXP 	window1: blendMode = 'avg'
14.6922 	EXP 	window1: blendMode = 'avg'
14.7088 	EXP 	window1: blendMode = 'avg'
14.7255 	EXP 	window1: blendMode = 'avg'
14.7422 	EXP 	window1: blendMode = 'avg'
14.7589 	EXP 	window1: blendMode = 'avg'
14.7755 	EXP 	window1: blendMode = 'avg'
14.7922 	EXP 	window1: blendMode = 'avg'
14.8088 	EXP 	window1: blendMode = 'avg'
14.8255 	EXP 	window1: blendMode = 'avg'
14.8421 	EXP 	window1: blendMode = 'avg'
14.8589 	EXP 	window1: blendMode = 'avg'
14.8756 	EXP 	window1: blendMode = 'avg'
14.8921 	EXP 	window1: blendMode = 'avg'
14.9088 	EXP 	window1: blendMode = 'avg'
14.9256 	EXP 	window1: blendMode = 'avg'
14.9421 	EXP 	window1: blendMode = 'avg'
14.9588 	EXP 	window1: blendMode = 'avg'
14.9755 	EXP 	window1: blendMode = 'avg'
14.9922 	EXP 	window1: blendMode = 'avg'
15.0088 	EXP 	window1: blendMode = 'avg'
15.0256 	EXP 	window1: blendMode = 'avg'
15.0417 	EXP 	window1: blendMode = 'avg'
15.0586 	EXP 	window1: blendMode = 'avg'
15.0754 	EXP 	window1: blendMode = 'avg'
15.0923 	EXP 	window1: blendMode = 'avg'
15.1088 	EXP 	window1: blendMode = 'avg'
15.1249 	EXP 	window1: blendMode = 'avg'
15.1420 	EXP 	window1: blendMode = 'avg'
15.1588 	EXP 	window1: blendMode = 'avg'
15.1756 	EXP 	window1: blendMode = 'avg'
15.1921 	EXP 	window1: blendMode = 'avg'
15.2089 	EXP 	window1: blendMode = 'avg'
15.2255 	EXP 	window1: blendMode = 'avg'
15.2423 	EXP 	window1: blendMode = 'avg'
15.2587 	EXP 	window1: blendMode = 'avg'
15.2755 	EXP 	window1: blendMode = 'avg'
15.2922 	EXP 	window1: blendMode = 'avg'
15.3088 	EXP 	window1: blendMode = 'avg'
15.3255 	EXP 	window1: blendMode = 'avg'
15.3423 	EXP 	window1: blendMode = 'avg'
15.3587 	EXP 	window1: blendMode = 'avg'
15.3743 	EXP 	window1: blendMode = 'avg'
15.3920 	EXP 	window1: blendMode = 'avg'
15.4089 	EXP 	window1: blendMode = 'avg'
15.4254 	EXP 	window1: blendMode = 'avg'
15.4421 	EXP 	window1: blendMode = 'avg'
15.4589 	EXP 	window1: blendMode = 'avg'
15.4756 	EXP 	window1: blendMode = 'avg'
15.4921 	EXP 	window1: blendMode = 'avg'
15.5088 	EXP 	window1: blendMode = 'avg'
15.5255 	EXP 	window1: blendMode = 'avg'
15.5422 	EXP 	window1: blendMode = 'avg'
15.5589 	EXP 	window1: blendMode = 'avg'
15.5756 	EXP 	window1: blendMode = 'avg'
15.5917 	EXP 	window1: blendMode = 'avg'
15.6086 	EXP 	window1: blendMode = 'avg'
15.6256 	EXP 	window1: blendMode = 'avg'
15.6422 	EXP 	window1: blendMode = 'avg'
15.6588 	EXP 	window1: blendMode = 'avg'
15.6756 	EXP 	window1: blendMode = 'avg'
15.6917 	EXP 	window1: blendMode = 'avg'
15.7092 	EXP 	window1: blendMode = 'avg'
15.7254 	EXP 	window1: blendMode = 'avg'
15.7416 	EXP 	window1: blendMode = 'avg'
15.7592 	EXP 	window1: blendMode = 'avg'
15.7756 	EXP 	window1: blendMode = 'avg'
15.7922 	EXP 	window1: blendMode = 'avg'
15.8092 	EXP 	window1: blendMode = 'avg'
15.8256 	EXP 	window1: blendMode = 'avg'
15.8420 	EXP 	window1: blendMode = 'avg'
15.8594 	EXP 	window1: blendMode = 'avg'
15.8763 	EXP 	window1: blendMode = 'avg'
15.8924 	EXP 	window1: blendMode = 'avg'
15.9088 	EXP 	window1: blendMode = 'avg'
15.9249 	EXP 	window1: blendMode = 'avg'
15.9426 	EXP 	window1: blendMode = 'avg'
15.9591 	EXP 	window1: blendMode = 'avg'
15.9751 	EXP 	window1: blendMode = 'avg'
15.9915 	EXP 	window1: blendMode = 'avg'
16.0087 	EXP 	window1: blendMode = 'avg'
16.0250 	EXP 	window1: blendMode = 'avg'
16.0423 	EXP 	window1: blendMode = 'avg'
16.0585 	EXP 	window1: blendMode = 'avg'
16.0755 	EXP 	window1: blendMode = 'avg'
16.0919 	EXP 	window1: blendMode = 'avg'
16.1097 	EXP 	window1: blendMode = 'avg'
16.1259 	EXP 	window1: blendMode = 'avg'
16.1428 	EXP 	window1: blendMode = 'avg'
16.1594 	EXP 	window1: blendMode = 'avg'
16.1756 	EXP 	window1: blendMode = 'avg'
16.1925 	EXP 	window1: blendMode = 'avg'
16.2086 	EXP 	window1: blendMode = 'avg'
16.2252 	EXP 	window1: blendMode = 'avg'
16.2420 	EXP 	window1: blendMode = 'avg'
16.2588 	EXP 	window1: blendMode = 'avg'
16.2756 	EXP 	window1: blendMode = 'avg'
16.2912 	EXP 	window1: blendMode = 'avg'
16.3088 	EXP 	window1: blendMode = 'avg'
16.3256 	EXP 	window1: blendMode = 'avg'
16.3423 	EXP 	window1: blendMode = 'avg'
16.3588 	EXP 	window1: blendMode = 'avg'
16.3756 	EXP 	window1: blendMode = 'avg'
16.3921 	EXP 	window1: blendMode = 'avg'
16.4088 	EXP 	window1: blendMode = 'avg'
16.4255 	EXP 	window1: blendMode = 'avg'
16.4422 	EXP 	window1: blendMode = 'avg'
16.4587 	EXP 	window1: blendMode = 'avg'
16.4753 	EXP 	window1: blendMode = 'avg'
16.4921 	EXP 	window1: blendMode = 'avg'
16.5089 	EXP 	window1: blendMode = 'avg'
16.5255 	EXP 	window1: blendMode = 'avg'
16.5425 	EXP 	window1: blendMode = 'avg'
16.5586 	EXP 	window1: blendMode = 'avg'
16.5755 	EXP 	window1: blendMode = 'avg'
16.5922 	EXP 	window1: blendMode = 'avg'
16.6088 	EXP 	window1: blendMode = 'avg'
16.6255 	EXP 	window1: blendMode = 'avg'
16.6435 	EXP 	window1: blendMode = 'avg'
16.6589 	EXP 	window1: blendMode = 'avg'
16.6755 	EXP 	window1: blendMode = 'avg'
16.6922 	EXP 	window1: blendMode = 'avg'
16.7087 	EXP 	window1: blendMode = 'avg'
16.7256 	EXP 	window1: blendMode = 'avg'
16.7421 	EXP 	window1: blendMode = 'avg'
16.7588 	EXP 	window1: blendMode = 'avg'
16.7756 	EXP 	window1: blendMode = 'avg'
16.7921 	EXP 	window1: blendMode = 'avg'
16.8089 	EXP 	window1: blendMode = 'avg'
16.8254 	EXP 	window1: blendMode = 'avg'
16.8422 	EXP 	window1: blendMode = 'avg'
16.8587 	EXP 	window1: blendMode = 'avg'
16.8755 	EXP 	window1: blendMode = 'avg'
16.8922 	EXP 	window1: blendMode = 'avg'
16.9090 	EXP 	window1: blendMode = 'avg'
16.9255 	EXP 	window1: blendMode = 'avg'
16.9421 	EXP 	window1: blendMode = 'avg'
16.9589 	EXP 	window1: blendMode = 'avg'
16.9754 	EXP 	window1: blendMode = 'avg'
16.9921 	EXP 	window1: blendMode = 'avg'
17.0089 	EXP 	window1: blendMode = 'avg'
17.0253 	EXP 	window1: blendMode = 'avg'
17.0420 	EXP 	window1: blendMode = 'avg'
17.0589 	EXP 	window1: blendMode = 'avg'
17.0755 	EXP 	window1: blendMode = 'avg'
17.0922 	EXP 	window1: blendMode = 'avg'
17.1087 	EXP 	window1: blendMode = 'avg'
17.1267 	DATA 	Keypress: right
17.1273 	EXP 	window1: blendMode = 'avg'
17.1422 	EXP 	window1: blendMode = 'avg'
17.1590 	EXP 	window1: blendMode = 'avg'
17.1746 	EXP 	window1: blendMode = 'avg'
17.1921 	EXP 	window1: blendMode = 'avg'
17.2089 	EXP 	window1: blendMode = 'avg'
17.2260 	EXP 	window1: blendMode = 'avg'
17.2420 	EXP 	window1: blendMode = 'avg'
17.2588 	EXP 	window1: blendMode = 'avg'
17.2756 	EXP 	window1: blendMode = 'avg'
17.2924 	EXP 	window1: blendMode = 'avg'
17.3087 	EXP 	window1: blendMode = 'avg'
17.3255 	EXP 	window1: blendMode = 'avg'
17.3422 	EXP 	window1: blendMode = 'avg'
17.3589 	EXP 	window1: blendMode = 'avg'
17.3755 	EXP 	window1: blendMode = 'avg'
17.3923 	EXP 	window1: blendMode = 'avg'
17.4088 	EXP 	window1: blendMode = 'avg'
17.4256 	EXP 	window1: blendMode = 'avg'
17.4421 	EXP 	window1: blendMode = 'avg'
17.4589 	EXP 	window1: blendMode = 'avg'
17.4754 	EXP 	window1: blendMode = 'avg'
17.4922 	EXP 	window1: blendMode = 'avg'
17.5087 	EXP 	window1: blendMode = 'avg'
17.5256 	EXP 	window1: blendMode = 'avg'
17.5421 	EXP 	window1: blendMode = 'avg'
17.5588 	EXP 	window1: blendMode = 'avg'
17.5757 	EXP 	window1: blendMode = 'avg'
17.5922 	EXP 	window1: blendMode = 'avg'
17.6087 	EXP 	window1: blendMode = 'avg'
17.6255 	EXP 	window1: blendMode = 'avg'
17.6422 	EXP 	window1: blendMode = 'avg'
17.6589 	EXP 	window1: blendMode = 'avg'
17.6746 	EXP 	window1: blendMode = 'avg'
17.6921 	EXP 	window1: blendMode = 'avg'
17.7089 	EXP 	window1: blendMode = 'avg'
17.7254 	EXP 	window1: blendMode = 'avg'
17.7422 	EXP 	window1: blendMode = 'avg'
17.7589 	EXP 	window1: blendMode = 'avg'
17.7754 	EXP 	window1: blendMode = 'avg'
17.7921 	EXP 	window1: blendMode = 'avg'
17.8089 	EXP 	window1: blendMode = 'avg'
17.8256 	EXP 	window1: blendMode = 'avg'
17.8421 	EXP 	window1: blendMode = 'avg'
17.8604 	DATA 	Keypress: space
17.8707 	EXP 	Imported Book.xlsx as conditions, 44 conditions, 7 params
17.8713 	EXP 	Created sequence: random, trialTypes=44, nReps=1, seed=None
17.8717 	EXP 	New trial (rep=0, index=0): {'YLeftPos': 0, 'time_presentation': 0.5, 'XLeftPos': -300, 'XRightPos': 300, 'rightimg': u'frogs/ab75.jpg', 'YRightPos': 0, 'leftimg': u'frogs/ab35.jpg'}
17.9575 	EXP 	text_2: autoDraw = False
17.9575 	EXP 	Leftimg: pos = array([-300.,    0.])
17.9575 	EXP 	Leftimg: image = u'frogs/ab35.jpg'
17.9575 	EXP 	Rightimg: pos = array([ 300.,    0.])
17.9575 	EXP 	Rightimg: image = u'frogs/ab75.jpg'
17.9575 	EXP 	Leftimg: autoDraw = True
17.9575 	EXP 	Rightimg: autoDraw = True
18.3912 	EXP 	Leftimg: autoDraw = False
18.3912 	EXP 	Rightimg: autoDraw = False
18.8093 	DATA 	Keypress: right
18.8104 	EXP 	New trial (rep=0, index=1): {'YLeftPos': 0, 'time_presentation': 0.5, 'XLeftPos': -300, 'XRightPos': 300, 'rightimg': u'frogs/ab57.jpg', 'YRightPos': 0, 'leftimg': u'frogs/ab17.jpg'}
18.9079 	EXP 	Leftimg: autoDraw = False
18.9079 	EXP 	Rightimg: autoDraw = False
18.9079 	EXP 	text: autoDraw = False
18.9079 	EXP 	Leftimg: pos = array([-300.,    0.])
18.9079 	EXP 	Leftimg: image = u'frogs/ab17.jpg'
18.9079 	EXP 	Rightimg: pos = array([ 300.,    0.])
18.9079 	EXP 	Rightimg: image = u'frogs/ab57.jpg'
18.9079 	EXP 	Leftimg: autoDraw = True
18.9079 	EXP 	Rightimg: autoDraw = True
19.3245 	EXP 	Leftimg: autoDraw = False
19.3245 	EXP 	Rightimg: autoDraw = False
