9.7507 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11348f3d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.7508 	EXP 	window1: recordFrameIntervals = False
9.9165 	EXP 	window1: recordFrameIntervals = True
10.0994 	EXP 	window1: recordFrameIntervals = False
10.1854 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.1871 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
10.1884 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
10.1984 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
10.2085 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.2130 	EXP 	window1: blendMode = 'avg'
10.2331 	EXP 	text_2: autoDraw = True
10.2368 	EXP 	window1: blendMode = 'avg'
10.2504 	EXP 	window1: blendMode = 'avg'
10.2673 	EXP 	window1: blendMode = 'avg'
10.2842 	EXP 	window1: blendMode = 'avg'
10.3007 	EXP 	window1: blendMode = 'avg'
10.3175 	EXP 	window1: blendMode = 'avg'
10.3340 	EXP 	window1: blendMode = 'avg'
10.3509 	EXP 	window1: blendMode = 'avg'
10.3673 	EXP 	window1: blendMode = 'avg'
10.3840 	EXP 	window1: blendMode = 'avg'
10.4006 	EXP 	window1: blendMode = 'avg'
10.4174 	EXP 	window1: blendMode = 'avg'
10.4339 	EXP 	window1: blendMode = 'avg'
10.4506 	EXP 	window1: blendMode = 'avg'
10.4675 	EXP 	window1: blendMode = 'avg'
10.4841 	EXP 	window1: blendMode = 'avg'
10.5006 	EXP 	window1: blendMode = 'avg'
10.5174 	EXP 	window1: blendMode = 'avg'
10.5340 	EXP 	window1: blendMode = 'avg'
10.5506 	EXP 	window1: blendMode = 'avg'
10.5672 	EXP 	window1: blendMode = 'avg'
10.5841 	EXP 	window1: blendMode = 'avg'
10.6005 	EXP 	window1: blendMode = 'avg'
10.6173 	EXP 	window1: blendMode = 'avg'
