7.1390 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113ea0410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1390 	EXP 	window1: recordFrameIntervals = False
7.3052 	EXP 	window1: recordFrameIntervals = True
7.4885 	EXP 	window1: recordFrameIntervals = False
7.5738 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.5755 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.5765 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.5862 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
7.5955 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6001 	EXP 	window1: blendMode = 'avg'
7.6215 	EXP 	text_2: autoDraw = True
7.6252 	EXP 	window1: blendMode = 'avg'
7.6388 	EXP 	window1: blendMode = 'avg'
7.6554 	EXP 	window1: blendMode = 'avg'
7.6720 	EXP 	window1: blendMode = 'avg'
7.6887 	EXP 	window1: blendMode = 'avg'
7.7055 	EXP 	window1: blendMode = 'avg'
7.7221 	EXP 	window1: blendMode = 'avg'
7.7380 	EXP 	window1: blendMode = 'avg'
7.7556 	EXP 	window1: blendMode = 'avg'
7.7718 	EXP 	window1: blendMode = 'avg'
7.7887 	EXP 	window1: blendMode = 'avg'
7.8053 	EXP 	window1: blendMode = 'avg'
7.8218 	EXP 	window1: blendMode = 'avg'
7.8385 	EXP 	window1: blendMode = 'avg'
7.8552 	EXP 	window1: blendMode = 'avg'
7.8721 	EXP 	window1: blendMode = 'avg'
7.8874 	EXP 	window1: blendMode = 'avg'
7.9058 	EXP 	window1: blendMode = 'avg'
7.9224 	EXP 	window1: blendMode = 'avg'
7.9391 	EXP 	window1: blendMode = 'avg'
7.9548 	EXP 	window1: blendMode = 'avg'
7.9717 	EXP 	window1: blendMode = 'avg'
7.9876 	EXP 	window1: blendMode = 'avg'
8.0042 	EXP 	window1: blendMode = 'avg'
8.0217 	EXP 	window1: blendMode = 'avg'
8.0376 	EXP 	window1: blendMode = 'avg'
8.0545 	EXP 	window1: blendMode = 'avg'
8.0719 	EXP 	window1: blendMode = 'avg'
8.0882 	EXP 	window1: blendMode = 'avg'
8.1045 	EXP 	window1: blendMode = 'avg'
8.1217 	EXP 	window1: blendMode = 'avg'
8.1373 	EXP 	window1: blendMode = 'avg'
8.1549 	EXP 	window1: blendMode = 'avg'
8.1716 	EXP 	window1: blendMode = 'avg'
8.1884 	EXP 	window1: blendMode = 'avg'
8.2048 	EXP 	window1: blendMode = 'avg'
8.2221 	EXP 	window1: blendMode = 'avg'
8.2276 	EXP 	window1: blendMode = 'avg'
8.2450 	EXP 	window1: blendMode = 'avg'
8.2616 	EXP 	window1: blendMode = 'avg'
8.2785 	EXP 	window1: blendMode = 'avg'
8.2951 	EXP 	window1: blendMode = 'avg'
8.3118 	EXP 	window1: blendMode = 'avg'
8.3285 	EXP 	window1: blendMode = 'avg'
8.3444 	EXP 	window1: blendMode = 'avg'
8.3619 	EXP 	window1: blendMode = 'avg'
8.3785 	EXP 	window1: blendMode = 'avg'
8.3950 	EXP 	window1: blendMode = 'avg'
8.4118 	EXP 	window1: blendMode = 'avg'
8.4284 	EXP 	window1: blendMode = 'avg'
8.4453 	EXP 	window1: blendMode = 'avg'
8.4618 	EXP 	window1: blendMode = 'avg'
8.4783 	EXP 	window1: blendMode = 'avg'
8.4947 	EXP 	window1: blendMode = 'avg'
8.5117 	EXP 	window1: blendMode = 'avg'
8.5284 	EXP 	window1: blendMode = 'avg'
8.5451 	EXP 	window1: blendMode = 'avg'
8.5616 	EXP 	window1: blendMode = 'avg'
8.5783 	EXP 	window1: blendMode = 'avg'
8.5950 	EXP 	window1: blendMode = 'avg'
8.6118 	EXP 	window1: blendMode = 'avg'
8.6284 	EXP 	window1: blendMode = 'avg'
8.6452 	EXP 	window1: blendMode = 'avg'
8.6618 	EXP 	window1: blendMode = 'avg'
8.6783 	EXP 	window1: blendMode = 'avg'
8.6952 	EXP 	window1: blendMode = 'avg'
8.7117 	EXP 	window1: blendMode = 'avg'
8.7285 	EXP 	window1: blendMode = 'avg'
8.7450 	EXP 	window1: blendMode = 'avg'
8.7618 	EXP 	window1: blendMode = 'avg'
8.7785 	EXP 	window1: blendMode = 'avg'
8.7956 	EXP 	window1: blendMode = 'avg'
8.8119 	EXP 	window1: blendMode = 'avg'
8.8283 	EXP 	window1: blendMode = 'avg'
8.8452 	EXP 	window1: blendMode = 'avg'
8.8619 	EXP 	window1: blendMode = 'avg'
8.8784 	EXP 	window1: blendMode = 'avg'
8.8952 	EXP 	window1: blendMode = 'avg'
8.9116 	EXP 	window1: blendMode = 'avg'
8.9277 	EXP 	window1: blendMode = 'avg'
8.9449 	EXP 	window1: blendMode = 'avg'
8.9616 	EXP 	window1: blendMode = 'avg'
8.9780 	EXP 	window1: blendMode = 'avg'
8.9951 	EXP 	window1: blendMode = 'avg'
9.0118 	EXP 	window1: blendMode = 'avg'
9.0284 	EXP 	window1: blendMode = 'avg'
9.0451 	EXP 	window1: blendMode = 'avg'
9.0617 	EXP 	window1: blendMode = 'avg'
9.0785 	EXP 	window1: blendMode = 'avg'
9.0957 	EXP 	window1: blendMode = 'avg'
9.1118 	EXP 	window1: blendMode = 'avg'
9.1278 	EXP 	window1: blendMode = 'avg'
9.1456 	EXP 	window1: blendMode = 'avg'
9.1612 	EXP 	window1: blendMode = 'avg'
9.1782 	EXP 	window1: blendMode = 'avg'
9.1950 	EXP 	window1: blendMode = 'avg'
9.2118 	EXP 	window1: blendMode = 'avg'
9.2284 	EXP 	window1: blendMode = 'avg'
9.2451 	EXP 	window1: blendMode = 'avg'
9.2618 	EXP 	window1: blendMode = 'avg'
9.2785 	EXP 	window1: blendMode = 'avg'
9.2950 	EXP 	window1: blendMode = 'avg'
9.3116 	EXP 	window1: blendMode = 'avg'
9.3282 	EXP 	window1: blendMode = 'avg'
9.3446 	EXP 	window1: blendMode = 'avg'
9.3606 	EXP 	window1: blendMode = 'avg'
9.3782 	EXP 	window1: blendMode = 'avg'
9.3951 	EXP 	window1: blendMode = 'avg'
9.4118 	EXP 	window1: blendMode = 'avg'
9.4288 	EXP 	window1: blendMode = 'avg'
9.4449 	EXP 	window1: blendMode = 'avg'
9.4611 	EXP 	window1: blendMode = 'avg'
9.4785 	EXP 	window1: blendMode = 'avg'
9.4941 	EXP 	window1: blendMode = 'avg'
9.5118 	EXP 	window1: blendMode = 'avg'
9.5283 	EXP 	window1: blendMode = 'avg'
9.5451 	EXP 	window1: blendMode = 'avg'
9.5618 	EXP 	window1: blendMode = 'avg'
9.5784 	EXP 	window1: blendMode = 'avg'
9.5951 	EXP 	window1: blendMode = 'avg'
9.6117 	EXP 	window1: blendMode = 'avg'
9.6283 	EXP 	window1: blendMode = 'avg'
9.6451 	EXP 	window1: blendMode = 'avg'
9.6612 	EXP 	window1: blendMode = 'avg'
9.6783 	EXP 	window1: blendMode = 'avg'
9.6951 	EXP 	window1: blendMode = 'avg'
9.7118 	EXP 	window1: blendMode = 'avg'
9.7284 	EXP 	window1: blendMode = 'avg'
9.7453 	EXP 	window1: blendMode = 'avg'
9.7615 	EXP 	window1: blendMode = 'avg'
9.7783 	EXP 	window1: blendMode = 'avg'
9.7951 	EXP 	window1: blendMode = 'avg'
9.8117 	EXP 	window1: blendMode = 'avg'
9.8286 	EXP 	window1: blendMode = 'avg'
9.8453 	EXP 	window1: blendMode = 'avg'
9.8608 	EXP 	window1: blendMode = 'avg'
9.8773 	EXP 	window1: blendMode = 'avg'
9.8946 	EXP 	window1: blendMode = 'avg'
9.9114 	EXP 	window1: blendMode = 'avg'
9.9287 	EXP 	window1: blendMode = 'avg'
9.9449 	EXP 	window1: blendMode = 'avg'
9.9617 	EXP 	window1: blendMode = 'avg'
9.9786 	EXP 	window1: blendMode = 'avg'
9.9949 	EXP 	window1: blendMode = 'avg'
