8.9975 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1144d03d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9976 	EXP 	window1: recordFrameIntervals = False
9.1630 	EXP 	window1: recordFrameIntervals = True
9.3464 	EXP 	window1: recordFrameIntervals = False
9.4319 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.4335 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.4347 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
9.4448 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
9.4543 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.4588 	EXP 	window1: blendMode = 'avg'
9.4644 	EXP 	text_2: autoDraw = True
9.4674 	EXP 	window1: blendMode = 'avg'
9.4824 	EXP 	window1: blendMode = 'avg'
9.4991 	EXP 	window1: blendMode = 'avg'
9.5158 	EXP 	window1: blendMode = 'avg'
9.5326 	EXP 	window1: blendMode = 'avg'
9.5495 	EXP 	window1: blendMode = 'avg'
9.5662 	EXP 	window1: blendMode = 'avg'
9.5828 	EXP 	window1: blendMode = 'avg'
9.5994 	EXP 	window1: blendMode = 'avg'
9.6161 	EXP 	window1: blendMode = 'avg'
9.6327 	EXP 	window1: blendMode = 'avg'
9.6493 	EXP 	window1: blendMode = 'avg'
9.6661 	EXP 	window1: blendMode = 'avg'
9.6825 	EXP 	window1: blendMode = 'avg'
9.6994 	EXP 	window1: blendMode = 'avg'
9.7160 	EXP 	window1: blendMode = 'avg'
9.7329 	EXP 	window1: blendMode = 'avg'
9.7493 	EXP 	window1: blendMode = 'avg'
9.7662 	EXP 	window1: blendMode = 'avg'
9.7826 	EXP 	window1: blendMode = 'avg'
9.7994 	EXP 	window1: blendMode = 'avg'
9.8158 	EXP 	window1: blendMode = 'avg'
9.8328 	EXP 	window1: blendMode = 'avg'
9.8492 	EXP 	window1: blendMode = 'avg'
9.8659 	EXP 	window1: blendMode = 'avg'
9.8824 	EXP 	window1: blendMode = 'avg'
9.8993 	EXP 	window1: blendMode = 'avg'
9.9160 	EXP 	window1: blendMode = 'avg'
9.9328 	EXP 	window1: blendMode = 'avg'
9.9499 	EXP 	window1: blendMode = 'avg'
9.9659 	EXP 	window1: blendMode = 'avg'
