13.6135 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113cdc410>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6136 	EXP 	window1: recordFrameIntervals = False
13.7797 	EXP 	window1: recordFrameIntervals = True
13.9633 	EXP 	window1: recordFrameIntervals = False
14.0488 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.0505 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
14.0517 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
14.0612 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
14.0708 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.0753 	EXP 	window1: blendMode = 'avg'
14.0957 	EXP 	text_2: autoDraw = True
14.0994 	EXP 	window1: blendMode = 'avg'
14.1137 	EXP 	window1: blendMode = 'avg'
14.1299 	EXP 	window1: blendMode = 'avg'
14.1470 	EXP 	window1: blendMode = 'avg'
14.1635 	EXP 	window1: blendMode = 'avg'
14.1806 	EXP 	window1: blendMode = 'avg'
14.1972 	EXP 	window1: blendMode = 'avg'
14.2138 	EXP 	window1: blendMode = 'avg'
14.2306 	EXP 	window1: blendMode = 'avg'
14.2474 	EXP 	window1: blendMode = 'avg'
14.2639 	EXP 	window1: blendMode = 'avg'
14.2805 	EXP 	window1: blendMode = 'avg'
14.2972 	EXP 	window1: blendMode = 'avg'
14.3140 	EXP 	window1: blendMode = 'avg'
14.3301 	EXP 	window1: blendMode = 'avg'
14.3470 	EXP 	window1: blendMode = 'avg'
14.3638 	EXP 	window1: blendMode = 'avg'
14.3805 	EXP 	window1: blendMode = 'avg'
14.3971 	EXP 	window1: blendMode = 'avg'
14.4137 	EXP 	window1: blendMode = 'avg'
14.4305 	EXP 	window1: blendMode = 'avg'
14.4475 	EXP 	window1: blendMode = 'avg'
14.4636 	EXP 	window1: blendMode = 'avg'
14.4805 	EXP 	window1: blendMode = 'avg'
14.4972 	EXP 	window1: blendMode = 'avg'
14.5139 	EXP 	window1: blendMode = 'avg'
14.5304 	EXP 	window1: blendMode = 'avg'
14.5472 	EXP 	window1: blendMode = 'avg'
14.5638 	EXP 	window1: blendMode = 'avg'
14.5805 	EXP 	window1: blendMode = 'avg'
14.5972 	EXP 	window1: blendMode = 'avg'
14.6137 	EXP 	window1: blendMode = 'avg'
14.6306 	EXP 	window1: blendMode = 'avg'
14.6471 	EXP 	window1: blendMode = 'avg'
14.6639 	EXP 	window1: blendMode = 'avg'
14.6804 	EXP 	window1: blendMode = 'avg'
14.6973 	EXP 	window1: blendMode = 'avg'
14.7138 	EXP 	window1: blendMode = 'avg'
14.7305 	EXP 	window1: blendMode = 'avg'
14.7472 	EXP 	window1: blendMode = 'avg'
14.7638 	EXP 	window1: blendMode = 'avg'
14.7803 	EXP 	window1: blendMode = 'avg'
14.7971 	EXP 	window1: blendMode = 'avg'
14.8138 	EXP 	window1: blendMode = 'avg'
14.8305 	EXP 	window1: blendMode = 'avg'
14.8470 	EXP 	window1: blendMode = 'avg'
14.8639 	EXP 	window1: blendMode = 'avg'
14.8805 	EXP 	window1: blendMode = 'avg'
14.8972 	EXP 	window1: blendMode = 'avg'
14.9138 	EXP 	window1: blendMode = 'avg'
14.9304 	EXP 	window1: blendMode = 'avg'
14.9468 	EXP 	window1: blendMode = 'avg'
14.9636 	EXP 	window1: blendMode = 'avg'
14.9804 	EXP 	window1: blendMode = 'avg'
14.9962 	EXP 	window1: blendMode = 'avg'
15.0139 	EXP 	window1: blendMode = 'avg'
15.0306 	EXP 	window1: blendMode = 'avg'
15.0471 	EXP 	window1: blendMode = 'avg'
15.0637 	EXP 	window1: blendMode = 'avg'
15.0804 	EXP 	window1: blendMode = 'avg'
15.0972 	EXP 	window1: blendMode = 'avg'
15.1138 	EXP 	window1: blendMode = 'avg'
15.1306 	EXP 	window1: blendMode = 'avg'
15.1472 	EXP 	window1: blendMode = 'avg'
15.1639 	EXP 	window1: blendMode = 'avg'
15.1804 	EXP 	window1: blendMode = 'avg'
15.1972 	EXP 	window1: blendMode = 'avg'
15.2137 	EXP 	window1: blendMode = 'avg'
15.2306 	EXP 	window1: blendMode = 'avg'
15.2472 	EXP 	window1: blendMode = 'avg'
15.2637 	EXP 	window1: blendMode = 'avg'
15.2804 	EXP 	window1: blendMode = 'avg'
15.2971 	EXP 	window1: blendMode = 'avg'
15.3138 	EXP 	window1: blendMode = 'avg'
15.3304 	EXP 	window1: blendMode = 'avg'
15.3472 	EXP 	window1: blendMode = 'avg'
15.3638 	EXP 	window1: blendMode = 'avg'
15.3804 	EXP 	window1: blendMode = 'avg'
15.3972 	EXP 	window1: blendMode = 'avg'
15.4138 	EXP 	window1: blendMode = 'avg'
15.4306 	EXP 	window1: blendMode = 'avg'
15.4471 	EXP 	window1: blendMode = 'avg'
15.4639 	EXP 	window1: blendMode = 'avg'
15.4804 	EXP 	window1: blendMode = 'avg'
15.4973 	EXP 	window1: blendMode = 'avg'
15.5138 	EXP 	window1: blendMode = 'avg'
15.5304 	EXP 	window1: blendMode = 'avg'
15.5472 	EXP 	window1: blendMode = 'avg'
15.5638 	EXP 	window1: blendMode = 'avg'
15.5806 	EXP 	window1: blendMode = 'avg'
15.5971 	EXP 	window1: blendMode = 'avg'
15.6137 	EXP 	window1: blendMode = 'avg'
15.6305 	EXP 	window1: blendMode = 'avg'
15.6471 	EXP 	window1: blendMode = 'avg'
15.6640 	EXP 	window1: blendMode = 'avg'
15.6805 	EXP 	window1: blendMode = 'avg'
15.6971 	EXP 	window1: blendMode = 'avg'
15.7137 	EXP 	window1: blendMode = 'avg'
15.7305 	EXP 	window1: blendMode = 'avg'
15.7472 	EXP 	window1: blendMode = 'avg'
15.7638 	EXP 	window1: blendMode = 'avg'
15.7804 	EXP 	window1: blendMode = 'avg'
15.7972 	EXP 	window1: blendMode = 'avg'
15.8137 	EXP 	window1: blendMode = 'avg'
15.8305 	EXP 	window1: blendMode = 'avg'
15.8471 	EXP 	window1: blendMode = 'avg'
15.8638 	EXP 	window1: blendMode = 'avg'
15.8804 	EXP 	window1: blendMode = 'avg'
15.8971 	EXP 	window1: blendMode = 'avg'
15.9137 	EXP 	window1: blendMode = 'avg'
15.9305 	EXP 	window1: blendMode = 'avg'
15.9471 	EXP 	window1: blendMode = 'avg'
15.9639 	EXP 	window1: blendMode = 'avg'
15.9804 	EXP 	window1: blendMode = 'avg'
15.9972 	EXP 	window1: blendMode = 'avg'
16.0137 	EXP 	window1: blendMode = 'avg'
16.0305 	EXP 	window1: blendMode = 'avg'
16.0470 	EXP 	window1: blendMode = 'avg'
16.0639 	EXP 	window1: blendMode = 'avg'
16.0805 	EXP 	window1: blendMode = 'avg'
16.0972 	EXP 	window1: blendMode = 'avg'
16.1138 	EXP 	window1: blendMode = 'avg'
16.1291 	EXP 	window1: blendMode = 'avg'
16.1469 	EXP 	window1: blendMode = 'avg'
16.1637 	EXP 	window1: blendMode = 'avg'
16.1805 	EXP 	window1: blendMode = 'avg'
16.1971 	EXP 	window1: blendMode = 'avg'
16.2138 	EXP 	window1: blendMode = 'avg'
16.2304 	EXP 	window1: blendMode = 'avg'
16.2469 	EXP 	window1: blendMode = 'avg'
16.2636 	EXP 	window1: blendMode = 'avg'
16.2804 	EXP 	window1: blendMode = 'avg'
16.2972 	EXP 	window1: blendMode = 'avg'
16.3137 	EXP 	window1: blendMode = 'avg'
16.3305 	EXP 	window1: blendMode = 'avg'
16.3471 	EXP 	window1: blendMode = 'avg'
16.3633 	EXP 	window1: blendMode = 'avg'
16.3803 	EXP 	window1: blendMode = 'avg'
16.3972 	EXP 	window1: blendMode = 'avg'
16.4137 	EXP 	window1: blendMode = 'avg'
16.4305 	EXP 	window1: blendMode = 'avg'
16.4471 	EXP 	window1: blendMode = 'avg'
16.4639 	EXP 	window1: blendMode = 'avg'
16.4803 	EXP 	window1: blendMode = 'avg'
16.4971 	EXP 	window1: blendMode = 'avg'
16.5138 	EXP 	window1: blendMode = 'avg'
16.5304 	EXP 	window1: blendMode = 'avg'
16.5472 	EXP 	window1: blendMode = 'avg'
16.5637 	EXP 	window1: blendMode = 'avg'
16.5805 	EXP 	window1: blendMode = 'avg'
16.5971 	EXP 	window1: blendMode = 'avg'
16.6137 	EXP 	window1: blendMode = 'avg'
16.6305 	EXP 	window1: blendMode = 'avg'
16.6471 	EXP 	window1: blendMode = 'avg'
16.6639 	EXP 	window1: blendMode = 'avg'
16.6804 	EXP 	window1: blendMode = 'avg'
16.6972 	EXP 	window1: blendMode = 'avg'
16.7138 	EXP 	window1: blendMode = 'avg'
16.7305 	EXP 	window1: blendMode = 'avg'
16.7471 	EXP 	window1: blendMode = 'avg'
16.7634 	EXP 	window1: blendMode = 'avg'
16.7794 	EXP 	window1: blendMode = 'avg'
16.7962 	EXP 	window1: blendMode = 'avg'
16.8129 	EXP 	window1: blendMode = 'avg'
16.8305 	EXP 	window1: blendMode = 'avg'
16.8470 	EXP 	window1: blendMode = 'avg'
16.8639 	EXP 	window1: blendMode = 'avg'
16.8805 	EXP 	window1: blendMode = 'avg'
16.8970 	EXP 	window1: blendMode = 'avg'
16.9139 	EXP 	window1: blendMode = 'avg'
16.9305 	EXP 	window1: blendMode = 'avg'
16.9472 	EXP 	window1: blendMode = 'avg'
16.9638 	EXP 	window1: blendMode = 'avg'
16.9802 	EXP 	window1: blendMode = 'avg'
16.9974 	EXP 	window1: blendMode = 'avg'
17.0136 	EXP 	window1: blendMode = 'avg'
17.0303 	EXP 	window1: blendMode = 'avg'
17.0471 	EXP 	window1: blendMode = 'avg'
17.0637 	EXP 	window1: blendMode = 'avg'
17.0805 	EXP 	window1: blendMode = 'avg'
17.0971 	EXP 	window1: blendMode = 'avg'
17.1138 	EXP 	window1: blendMode = 'avg'
17.1305 	EXP 	window1: blendMode = 'avg'
17.1463 	EXP 	window1: blendMode = 'avg'
17.1636 	EXP 	window1: blendMode = 'avg'
17.1805 	EXP 	window1: blendMode = 'avg'
17.1971 	EXP 	window1: blendMode = 'avg'
17.2139 	EXP 	window1: blendMode = 'avg'
17.2305 	EXP 	window1: blendMode = 'avg'
17.2479 	EXP 	window1: blendMode = 'avg'
17.2639 	EXP 	window1: blendMode = 'avg'
17.2795 	EXP 	window1: blendMode = 'avg'
17.2969 	EXP 	window1: blendMode = 'avg'
17.3138 	EXP 	window1: blendMode = 'avg'
17.3304 	EXP 	window1: blendMode = 'avg'
17.3471 	EXP 	window1: blendMode = 'avg'
17.3638 	EXP 	window1: blendMode = 'avg'
17.3806 	EXP 	window1: blendMode = 'avg'
17.3970 	EXP 	window1: blendMode = 'avg'
17.4138 	EXP 	window1: blendMode = 'avg'
17.4306 	EXP 	window1: blendMode = 'avg'
17.4461 	EXP 	window1: blendMode = 'avg'
17.4639 	EXP 	window1: blendMode = 'avg'
17.4804 	EXP 	window1: blendMode = 'avg'
17.4972 	EXP 	window1: blendMode = 'avg'
17.5138 	EXP 	window1: blendMode = 'avg'
17.5298 	EXP 	window1: blendMode = 'avg'
17.5472 	EXP 	window1: blendMode = 'avg'
17.5638 	EXP 	window1: blendMode = 'avg'
17.5805 	EXP 	window1: blendMode = 'avg'
17.5972 	EXP 	window1: blendMode = 'avg'
17.6138 	EXP 	window1: blendMode = 'avg'
17.6303 	EXP 	window1: blendMode = 'avg'
17.6472 	EXP 	window1: blendMode = 'avg'
17.6638 	EXP 	window1: blendMode = 'avg'
17.6803 	EXP 	window1: blendMode = 'avg'
17.6970 	EXP 	window1: blendMode = 'avg'
17.7135 	EXP 	window1: blendMode = 'avg'
17.7302 	EXP 	window1: blendMode = 'avg'
17.7480 	EXP 	window1: blendMode = 'avg'
17.7638 	EXP 	window1: blendMode = 'avg'
17.7804 	EXP 	window1: blendMode = 'avg'
17.7972 	EXP 	window1: blendMode = 'avg'
17.8138 	EXP 	window1: blendMode = 'avg'
17.8306 	EXP 	window1: blendMode = 'avg'
17.8472 	EXP 	window1: blendMode = 'avg'
17.8638 	EXP 	window1: blendMode = 'avg'
