7.1100 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113e5e290>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1101 	EXP 	window1: recordFrameIntervals = False
7.2768 	EXP 	window1: recordFrameIntervals = True
7.3979 	WARNING 	t of last frame was 21.24ms (=1/47)
7.5646 	EXP 	window1: recordFrameIntervals = False
7.6491 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6506 	EXP 	Created Leftimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Leftimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.6518 	EXP 	Created Rightimg = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rightimg', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  400.]), texRes=128, units='pix', win=Window(...))
7.6622 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'to proceed press the space bar.', units=u'norm', win=Window(...), wrapWidth=1)
7.6716 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6763 	EXP 	window1: blendMode = 'avg'
7.6973 	EXP 	text_2: autoDraw = True
7.7004 	EXP 	window1: blendMode = 'avg'
7.7154 	EXP 	window1: blendMode = 'avg'
7.7317 	EXP 	window1: blendMode = 'avg'
7.7483 	EXP 	window1: blendMode = 'avg'
7.7654 	EXP 	window1: blendMode = 'avg'
7.7820 	EXP 	window1: blendMode = 'avg'
7.7986 	EXP 	window1: blendMode = 'avg'
7.8154 	EXP 	window1: blendMode = 'avg'
7.8319 	EXP 	window1: blendMode = 'avg'
7.8483 	EXP 	window1: blendMode = 'avg'
7.8653 	EXP 	window1: blendMode = 'avg'
7.8820 	EXP 	window1: blendMode = 'avg'
7.8983 	EXP 	window1: blendMode = 'avg'
7.9151 	EXP 	window1: blendMode = 'avg'
7.9320 	EXP 	window1: blendMode = 'avg'
7.9480 	EXP 	window1: blendMode = 'avg'
7.9651 	EXP 	window1: blendMode = 'avg'
7.9817 	EXP 	window1: blendMode = 'avg'
7.9983 	EXP 	window1: blendMode = 'avg'
8.0154 	EXP 	window1: blendMode = 'avg'
8.0319 	EXP 	window1: blendMode = 'avg'
8.0488 	EXP 	window1: blendMode = 'avg'
8.0655 	EXP 	window1: blendMode = 'avg'
8.0809 	EXP 	window1: blendMode = 'avg'
8.0986 	EXP 	window1: blendMode = 'avg'
8.1153 	EXP 	window1: blendMode = 'avg'
8.1321 	EXP 	window1: blendMode = 'avg'
8.1479 	EXP 	window1: blendMode = 'avg'
8.1655 	EXP 	window1: blendMode = 'avg'
8.1821 	EXP 	window1: blendMode = 'avg'
8.1970 	EXP 	window1: blendMode = 'avg'
8.2152 	EXP 	window1: blendMode = 'avg'
8.2320 	EXP 	window1: blendMode = 'avg'
8.2488 	EXP 	window1: blendMode = 'avg'
8.2652 	EXP 	window1: blendMode = 'avg'
8.2817 	EXP 	window1: blendMode = 'avg'
8.2988 	EXP 	window1: blendMode = 'avg'
8.3154 	EXP 	window1: blendMode = 'avg'
8.3319 	EXP 	window1: blendMode = 'avg'
8.3489 	EXP 	window1: blendMode = 'avg'
8.3655 	EXP 	window1: blendMode = 'avg'
8.3817 	EXP 	window1: blendMode = 'avg'
8.3986 	EXP 	window1: blendMode = 'avg'
8.4156 	EXP 	window1: blendMode = 'avg'
8.4316 	EXP 	window1: blendMode = 'avg'
8.4480 	EXP 	window1: blendMode = 'avg'
8.4653 	EXP 	window1: blendMode = 'avg'
8.4822 	EXP 	window1: blendMode = 'avg'
8.4984 	EXP 	window1: blendMode = 'avg'
8.5153 	EXP 	window1: blendMode = 'avg'
8.5316 	EXP 	window1: blendMode = 'avg'
8.5486 	EXP 	window1: blendMode = 'avg'
8.5657 	EXP 	window1: blendMode = 'avg'
8.5820 	EXP 	window1: blendMode = 'avg'
8.5988 	EXP 	window1: blendMode = 'avg'
8.6150 	EXP 	window1: blendMode = 'avg'
8.6318 	EXP 	window1: blendMode = 'avg'
8.6518 	DATA 	Keypress: space
8.6620 	EXP 	Imported Book.xlsx as conditions, 44 conditions, 7 params
8.6626 	EXP 	Created sequence: random, trialTypes=44, nReps=1, seed=None
8.6630 	EXP 	New trial (rep=0, index=0): {'YLeftPos': 0, 'time_presentation': 0.5, 'XLeftPos': -300, 'XRightPos': 300, 'rightimg': u'frogs/ab66.jpg', 'YRightPos': 0, 'leftimg': u'frogs/ab26.jpg'}
8.7470 	EXP 	text_2: autoDraw = False
8.7470 	EXP 	Leftimg: pos = array([-300.,    0.])
8.7470 	EXP 	Leftimg: image = u'frogs/ab26.jpg'
8.7470 	EXP 	Rightimg: pos = array([ 300.,    0.])
8.7470 	EXP 	Rightimg: image = u'frogs/ab66.jpg'
8.7470 	EXP 	Leftimg: autoDraw = True
8.7470 	EXP 	Rightimg: autoDraw = True
9.1812 	EXP 	Leftimg: autoDraw = False
9.1812 	EXP 	Rightimg: autoDraw = False
11.1655 	EXP 	window1: blendMode = 'avg'
11.1806 	EXP 	text: autoDraw = True
11.1816 	EXP 	window1: blendMode = 'avg'
11.1984 	EXP 	window1: blendMode = 'avg'
11.2150 	EXP 	window1: blendMode = 'avg'
11.2320 	EXP 	window1: blendMode = 'avg'
11.2488 	EXP 	window1: blendMode = 'avg'
11.2654 	EXP 	window1: blendMode = 'avg'
11.2820 	EXP 	window1: blendMode = 'avg'
11.2988 	EXP 	window1: blendMode = 'avg'
11.3155 	EXP 	window1: blendMode = 'avg'
11.3320 	EXP 	window1: blendMode = 'avg'
11.3487 	EXP 	window1: blendMode = 'avg'
11.3656 	EXP 	window1: blendMode = 'avg'
11.3820 	EXP 	window1: blendMode = 'avg'
11.3987 	EXP 	window1: blendMode = 'avg'
11.4155 	EXP 	window1: blendMode = 'avg'
11.4320 	EXP 	window1: blendMode = 'avg'
11.4483 	EXP 	window1: blendMode = 'avg'
11.4649 	EXP 	window1: blendMode = 'avg'
11.4820 	EXP 	window1: blendMode = 'avg'
11.4988 	EXP 	window1: blendMode = 'avg'
11.5150 	EXP 	window1: blendMode = 'avg'
11.5319 	EXP 	window1: blendMode = 'avg'
11.5488 	EXP 	window1: blendMode = 'avg'
11.5652 	EXP 	window1: blendMode = 'avg'
11.5817 	EXP 	window1: blendMode = 'avg'
11.5986 	EXP 	window1: blendMode = 'avg'
11.6156 	EXP 	window1: blendMode = 'avg'
11.6315 	EXP 	window1: blendMode = 'avg'
11.6481 	EXP 	window1: blendMode = 'avg'
11.6653 	EXP 	window1: blendMode = 'avg'
11.6820 	EXP 	window1: blendMode = 'avg'
11.6986 	EXP 	window1: blendMode = 'avg'
11.7156 	EXP 	window1: blendMode = 'avg'
11.7321 	EXP 	window1: blendMode = 'avg'
11.7485 	EXP 	window1: blendMode = 'avg'
11.7654 	EXP 	window1: blendMode = 'avg'
11.7818 	EXP 	window1: blendMode = 'avg'
11.7985 	EXP 	window1: blendMode = 'avg'
11.8154 	EXP 	window1: blendMode = 'avg'
11.8313 	EXP 	window1: blendMode = 'avg'
11.8487 	EXP 	window1: blendMode = 'avg'
11.8650 	EXP 	window1: blendMode = 'avg'
11.8819 	EXP 	window1: blendMode = 'avg'
11.8986 	EXP 	window1: blendMode = 'avg'
11.9150 	EXP 	window1: blendMode = 'avg'
11.9319 	EXP 	window1: blendMode = 'avg'
11.9489 	EXP 	window1: blendMode = 'avg'
11.9640 	EXP 	window1: blendMode = 'avg'
11.9816 	EXP 	window1: blendMode = 'avg'
11.9985 	EXP 	window1: blendMode = 'avg'
12.0153 	EXP 	window1: blendMode = 'avg'
12.0321 	EXP 	window1: blendMode = 'avg'
12.0487 	EXP 	window1: blendMode = 'avg'
12.0654 	EXP 	window1: blendMode = 'avg'
12.0822 	EXP 	window1: blendMode = 'avg'
12.0982 	EXP 	window1: blendMode = 'avg'
12.1149 	EXP 	window1: blendMode = 'avg'
12.1319 	EXP 	window1: blendMode = 'avg'
12.1489 	EXP 	window1: blendMode = 'avg'
12.1651 	EXP 	window1: blendMode = 'avg'
12.1820 	EXP 	window1: blendMode = 'avg'
12.1988 	EXP 	window1: blendMode = 'avg'
12.2141 	EXP 	window1: blendMode = 'avg'
12.2318 	EXP 	window1: blendMode = 'avg'
12.2487 	EXP 	window1: blendMode = 'avg'
12.2656 	EXP 	window1: blendMode = 'avg'
12.2812 	EXP 	window1: blendMode = 'avg'
12.2988 	EXP 	window1: blendMode = 'avg'
12.3154 	EXP 	window1: blendMode = 'avg'
12.3305 	EXP 	window1: blendMode = 'avg'
12.3480 	EXP 	window1: blendMode = 'avg'
12.3654 	EXP 	window1: blendMode = 'avg'
12.3821 	EXP 	window1: blendMode = 'avg'
12.3986 	EXP 	window1: blendMode = 'avg'
12.4156 	EXP 	window1: blendMode = 'avg'
12.4320 	EXP 	window1: blendMode = 'avg'
12.4486 	EXP 	window1: blendMode = 'avg'
12.4651 	EXP 	window1: blendMode = 'avg'
12.4820 	EXP 	window1: blendMode = 'avg'
12.4988 	EXP 	window1: blendMode = 'avg'
12.5151 	EXP 	window1: blendMode = 'avg'
12.5315 	EXP 	window1: blendMode = 'avg'
12.5487 	EXP 	window1: blendMode = 'avg'
12.5652 	EXP 	window1: blendMode = 'avg'
12.5818 	EXP 	window1: blendMode = 'avg'
12.5987 	EXP 	window1: blendMode = 'avg'
12.6154 	EXP 	window1: blendMode = 'avg'
12.6319 	EXP 	window1: blendMode = 'avg'
12.6488 	EXP 	window1: blendMode = 'avg'
12.6655 	EXP 	window1: blendMode = 'avg'
12.6822 	EXP 	window1: blendMode = 'avg'
12.6989 	EXP 	window1: blendMode = 'avg'
12.7146 	EXP 	window1: blendMode = 'avg'
12.7321 	EXP 	window1: blendMode = 'avg'
12.7484 	EXP 	window1: blendMode = 'avg'
12.7650 	EXP 	window1: blendMode = 'avg'
12.7820 	EXP 	window1: blendMode = 'avg'
12.7986 	EXP 	window1: blendMode = 'avg'
12.8153 	EXP 	window1: blendMode = 'avg'
12.8322 	EXP 	window1: blendMode = 'avg'
12.8488 	EXP 	window1: blendMode = 'avg'
12.8651 	EXP 	window1: blendMode = 'avg'
12.8816 	EXP 	window1: blendMode = 'avg'
12.8987 	EXP 	window1: blendMode = 'avg'
12.9148 	EXP 	window1: blendMode = 'avg'
12.9314 	EXP 	window1: blendMode = 'avg'
12.9486 	EXP 	window1: blendMode = 'avg'
12.9651 	EXP 	window1: blendMode = 'avg'
12.9817 	EXP 	window1: blendMode = 'avg'
12.9984 	EXP 	window1: blendMode = 'avg'
13.0152 	EXP 	window1: blendMode = 'avg'
13.0321 	EXP 	window1: blendMode = 'avg'
13.0473 	EXP 	window1: blendMode = 'avg'
13.0651 	EXP 	window1: blendMode = 'avg'
13.0823 	EXP 	window1: blendMode = 'avg'
13.0986 	EXP 	window1: blendMode = 'avg'
13.1152 	EXP 	window1: blendMode = 'avg'
13.1318 	EXP 	window1: blendMode = 'avg'
13.1489 	EXP 	window1: blendMode = 'avg'
13.1651 	EXP 	window1: blendMode = 'avg'
13.1821 	EXP 	window1: blendMode = 'avg'
13.1988 	EXP 	window1: blendMode = 'avg'
13.2146 	EXP 	window1: blendMode = 'avg'
13.2326 	DATA 	Keypress: right
13.2334 	EXP 	window1: blendMode = 'avg'
13.2485 	EXP 	window1: blendMode = 'avg'
13.2655 	EXP 	window1: blendMode = 'avg'
13.2818 	EXP 	window1: blendMode = 'avg'
